run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-22T01:44:30Z,20260422T014430Z_aes_128_gcm_esp32c61_riscv32,aes_128_gcm,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,16,32,16,12,16,50,82182703,82178115,102728.378750,102722.643750,513641.893750,513613.218750,10272.837875,10272.264375,194132,426646,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-22T01:44:30Z,20260422T014430Z_aes_128_gcm_esp32c61_riscv32,aes_128_gcm,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,64,32,16,12,16,20,63076382,63064445,49278.423438,49269.097656,394227.387500,394152.781250,19711.369375,19707.639062,194132,426646,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-22T01:44:30Z,20260422T014430Z_aes_128_gcm_esp32c61_riscv32,aes_128_gcm,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,256,32,16,12,16,10,91943390,91919869,35915.386719,35906.198828,574646.187500,574499.181250,57464.618750,57449.918125,194132,426646,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-22T01:44:30Z,20260422T014430Z_aes_128_gcm_esp32c61_riscv32,aes_128_gcm,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,1024,32,16,12,16,5,166783227,166737038,32574.849023,32565.827734,1042395.168750,1042106.487500,208479.033750,208421.297500,194132,426646,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-22T01:44:30Z,20260422T014430Z_aes_128_gcm_esp32c61_riscv32,aes_128_gcm,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,4096,32,16,12,16,3,390014547,389906001,31739.465088,31730.631592,2437590.918750,2436912.506250,812530.306250,812304.168750,194132,426646,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-22T01:44:30Z,20260422T014430Z_aes_128_gcm_esp32c61_riscv32,aes_128_gcm,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,16384,32,16,12,16,2,1033210672,1032908859,31531.087402,31521.876801,6457566.700000,6455680.368750,3228783.350000,3227840.184375,194132,426646,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-22T01:45:33Z,20260422T014533Z_aes_128_gcm_esp32c61_riscv32,aes_128_gcm,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,16,32,16,12,16,50,82182203,82177739,102727.753750,102722.173750,513638.768750,513610.868750,10272.775375,10272.217375,194132,426646,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-22T01:45:33Z,20260422T014533Z_aes_128_gcm_esp32c61_riscv32,aes_128_gcm,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,64,32,16,12,16,20,63076329,63065359,49278.382031,49269.811719,394227.056250,394158.493750,19711.352813,19707.924688,194132,426646,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-22T01:45:33Z,20260422T014533Z_aes_128_gcm_esp32c61_riscv32,aes_128_gcm,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,256,32,16,12,16,10,91944159,91921125,35915.687109,35906.689453,574650.993750,574507.031250,57465.099375,57450.703125,194132,426646,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-22T01:45:33Z,20260422T014533Z_aes_128_gcm_esp32c61_riscv32,aes_128_gcm,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,1024,32,16,12,16,5,166784615,166738230,32575.120117,32566.060547,1042403.843750,1042113.937500,208480.768750,208422.787500,194132,426646,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
