run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-22T01:57:20Z,20260422T015720Z_ml_kem_512_esp32c61_riscv32,ml_kem_512,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,0,0,1632,0,32,10,9419212,0,0.000000,0.000000,58870.075000,0.000000,5887.007500,0.000000,199036,380430,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
1,2026-04-22T01:57:20Z,20260422T015720Z_ml_kem_512_esp32c61_riscv32,ml_kem_512,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,0,0,1632,0,32,10,10513121,0,0.000000,0.000000,65707.006250,0.000000,6570.700625,0.000000,199036,380430,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,encap
1,2026-04-22T01:57:20Z,20260422T015720Z_ml_kem_512_esp32c61_riscv32,ml_kem_512,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,0,0,1632,0,32,10,12416893,0,0.000000,0.000000,77605.581250,0.000000,7760.558125,0.000000,199036,380430,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,decap
2,2026-04-22T01:57:28Z,20260422T015728Z_ml_kem_512_esp32c61_riscv32,ml_kem_512,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,0,0,1632,0,32,10,9419340,0,0.000000,0.000000,58870.875000,0.000000,5887.087500,0.000000,199036,380430,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
2,2026-04-22T01:57:28Z,20260422T015728Z_ml_kem_512_esp32c61_riscv32,ml_kem_512,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,0,0,1632,0,32,10,10513243,0,0.000000,0.000000,65707.768750,0.000000,6570.776875,0.000000,199036,380430,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,encap
2,2026-04-22T01:57:28Z,20260422T015728Z_ml_kem_512_esp32c61_riscv32,ml_kem_512,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,0,0,1632,0,32,10,12416930,0,0.000000,0.000000,77605.812500,0.000000,7760.581250,0.000000,199036,380430,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,decap
3,2026-04-22T01:57:36Z,20260422T015736Z_ml_kem_512_esp32c61_riscv32,ml_kem_512,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,0,0,1632,0,32,10,9419213,0,0.000000,0.000000,58870.081250,0.000000,5887.008125,0.000000,199036,380430,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
3,2026-04-22T01:57:36Z,20260422T015736Z_ml_kem_512_esp32c61_riscv32,ml_kem_512,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,0,0,1632,0,32,10,10513440,0,0.000000,0.000000,65709.000000,0.000000,6570.900000,0.000000,199036,380430,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,encap
3,2026-04-22T01:57:36Z,20260422T015736Z_ml_kem_512_esp32c61_riscv32,ml_kem_512,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,0,0,1632,0,32,10,12417424,0,0.000000,0.000000,77608.900000,0.000000,7760.890000,0.000000,199036,380430,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,decap
4,2026-04-22T01:57:44Z,20260422T015744Z_ml_kem_512_esp32c61_riscv32,ml_kem_512,ref,0.1.0,esp32c61,riscv32,GNU,14.2.0,-O2,160000000,0,0,1632,0,32,10,9419142,0,0.000000,0.000000,58869.637500,0.000000,5886.963750,0.000000,199036,380430,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
