run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-25T17:39:54Z,20260425T173954Z_ascon_aead128_nrf52_armv7e_m,ascon_aead128,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16,32,16,16,16,1000,10403056,10405056,650.191000,650.316000,162547.750000,162579.000000,162.547750,162.579000,37368,51648,0,3068.728937,3071.135890,0.191796,0.191946,18.884486,18.892032,1,
1,2026-04-25T17:39:54Z,20260425T173954Z_ascon_aead128_nrf52_armv7e_m,ascon_aead128,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,64,32,16,16,16,1000,16181056,15496056,252.829000,242.125875,252829.000000,242125.875000,252.829000,242.125875,37368,51648,0,4732.129598,4569.703950,0.073940,0.071402,18.720256,18.875762,1,
1,2026-04-25T17:39:54Z,20260425T173954Z_ascon_aead128_nrf52_armv7e_m,ascon_aead128,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,256,32,16,16,16,1000,39293056,35860056,153.488500,140.078344,613954.000000,560313.375000,613.954000,560.313375,37368,51648,0,11588.718795,10577.935207,0.045268,0.041320,18.876056,18.879688,1,
1,2026-04-25T17:39:54Z,20260425T173954Z_ascon_aead128_nrf52_armv7e_m,ascon_aead128,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,1024,32,16,16,16,500,65870556,58658056,128.653430,114.566516,1029227.437500,916532.125000,2058.454875,1833.064250,37368,51648,0,14817.814606,14477.305151,0.028941,0.028276,14.397585,15.796296,1,
1,2026-04-25T17:39:54Z,20260425T173954Z_ascon_aead128_nrf52_armv7e_m,ascon_aead128,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,4096,32,16,16,16,200,100306656,88628056,122.444648,108.188545,1567291.500000,1384813.375000,7836.457500,6924.066875,37368,51648,0,15023.172161,14743.545942,0.018339,0.017997,9.585690,10.647081,1,
1,2026-04-25T17:39:54Z,20260425T173954Z_ascon_aead128_nrf52_armv7e_m,ascon_aead128,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16384,32,16,16,16,100,198070156,174643656,120.892429,106.594028,3094846.187500,2728807.125000,30948.461875,27288.071250,37368,51648,0,30082.414138,23868.023288,0.018361,0.014568,9.720368,8.746871,1,
2,2026-04-25T17:40:32Z,20260425T174032Z_ascon_aead128_nrf52_armv7e_m,ascon_aead128,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16,32,16,16,16,1000,10403056,10405056,650.191000,650.316000,162547.750000,162579.000000,162.547750,162.579000,37368,51648,0,3062.869951,3061.564413,0.191429,0.191348,18.848430,18.833153,1,
2,2026-04-25T17:40:32Z,20260425T174032Z_ascon_aead128_nrf52_armv7e_m,ascon_aead128,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,64,32,16,16,16,1000,16181056,15496056,252.829000,242.125875,252829.000000,242125.875000,252.829000,242.125875,37368,51648,0,4720.934274,4564.745096,0.073765,0.071324,18.673658,18.855279,1,
2,2026-04-25T17:40:32Z,20260425T174032Z_ascon_aead128_nrf52_armv7e_m,ascon_aead128,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,256,32,16,16,16,1000,39293056,35860056,153.488500,140.078344,613954.000000,560313.375000,613.954000,560.313375,37368,51648,0,11565.710215,10557.961221,0.045179,0.041242,18.839538,18.844038,1,
2,2026-04-25T17:40:32Z,20260425T174032Z_ascon_aead128_nrf52_armv7e_m,ascon_aead128,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,1024,32,16,16,16,500,65870556,58658056,128.653430,114.566516,1029227.437500,916532.125000,2058.454875,1833.064250,37368,51648,0,14823.514593,14463.945805,0.028952,0.028250,14.403123,15.781719,1,
2,2026-04-25T17:40:32Z,20260425T174032Z_ascon_aead128_nrf52_armv7e_m,ascon_aead128,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,4096,32,16,16,16,200,100306656,88628056,122.444648,108.188545,1567291.500000,1384813.375000,7836.457500,6924.066875,37368,51648,0,15035.809278,14756.328899,0.018354,0.018013,9.593753,10.656313,1,
2,2026-04-25T17:40:32Z,20260425T174032Z_ascon_aead128_nrf52_armv7e_m,ascon_aead128,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16384,32,16,16,16,100,198070156,174643656,120.892429,106.594028,3094846.187500,2728807.125000,30948.461875,27288.071250,37368,51648,0,30104.578415,23865.836942,0.018374,0.014567,9.727530,8.746069,1,
3,2026-04-25T17:41:09Z,20260425T174109Z_ascon_aead128_nrf52_armv7e_m,ascon_aead128,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16,32,16,16,16,1000,10403056,10405056,650.191000,650.316000,162547.750000,162579.000000,162.547750,162.579000,37368,51648,0,3061.851365,3064.932887,0.191366,0.191558,18.838539,18.853874,1,
