run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-25T17:44:30Z,20260425T174430Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16,32,20,16,16,1000,11673056,11649056,729.566000,728.066000,182391.500000,182016.500000,182.391500,182.016500,34504,51648,0,3160.812198,3433.259445,0.197551,0.214579,17.334360,18.867302,1,
1,2026-04-25T17:44:30Z,20260425T174430Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,64,32,20,16,16,1000,19083056,18579056,298.172750,290.297750,298172.750000,290297.750000,298.172750,290.297750,34504,51648,0,5601.771537,5492.511473,0.087528,0.085820,18.788040,18.923381,1,
1,2026-04-25T17:44:30Z,20260425T174430Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,256,32,20,16,16,1000,48723056,46299056,190.324437,180.855687,761297.750000,723422.750000,761.297750,723.422750,34504,51648,0,8550.208756,8311.606800,0.033399,0.032467,11.231801,11.490039,1,
1,2026-04-25T17:44:30Z,20260425T174430Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,1024,32,20,16,16,500,83641556,78589556,163.362414,153.495227,1306899.312500,1227961.812500,2613.798625,2455.923625,34504,51648,0,8798.054618,8548.949988,0.017184,0.016697,6.732132,6.962217,1,
1,2026-04-25T17:44:30Z,20260425T174430Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,4096,32,20,16,16,200,128304656,120139856,156.621895,146.655098,2004760.250000,1877185.250000,10023.801250,9385.926250,34504,51648,0,9048.664127,8827.332301,0.011046,0.010776,4.513683,4.702581,1,
1,2026-04-25T17:44:30Z,20260425T174430Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16384,32,20,16,16,100,253848356,237477956,154.936741,144.945042,3966380.562500,3710593.062500,39663.805625,37105.930625,34504,51648,0,18281.115435,15294.427989,0.011158,0.009335,4.609096,4.121897,1,
2,2026-04-25T17:45:17Z,20260425T174517Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16,32,20,16,16,1000,11673056,11649056,729.566000,728.066000,182391.500000,182016.500000,182.391500,182.016500,34504,51648,0,3164.374086,3432.212986,0.197773,0.214513,17.350920,18.861552,1,
2,2026-04-25T17:45:17Z,20260425T174517Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,64,32,20,16,16,1000,19083056,18579056,298.172750,290.297750,298172.750000,290297.750000,298.172750,290.297750,34504,51648,0,5603.043767,5493.576038,0.087548,0.085837,18.792307,18.927049,1,
2,2026-04-25T17:45:17Z,20260425T174517Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,256,32,20,16,16,1000,48723056,46299056,190.324437,180.855687,761297.750000,723422.750000,761.297750,723.422750,34504,51648,0,8555.330195,8315.420309,0.033419,0.032482,11.238529,11.495311,1,
2,2026-04-25T17:45:17Z,20260425T174517Z_ascon_aead80pq_nrf52_armv7e_m,ascon_aead80pq,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,1024,32,20,16,16,500,83641556,78589556,163.362414,153.495227,1306899.312500,1227961.812500,2613.798625,2455.923625,34504,51648,0,8850.612111,8580.850980,0.017286,0.016759,6.772510,6.988019,1,
