run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-25T17:48:51Z,20260425T174851Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16,32,16,16,16,1000,9121056,9112056,570.066000,569.503500,142516.500000,142375.875000,142.516500,142.375875,22472,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-25T17:48:51Z,20260425T174851Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,64,32,16,16,16,1000,14603056,13967056,228.172750,218.235250,228172.750000,218235.250000,228.172750,218.235250,22472,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-25T17:48:51Z,20260425T174851Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,256,32,16,16,16,1000,36383056,33239056,142.121312,129.840062,568485.250000,519360.250000,568.485250,519.360250,22472,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-25T17:48:51Z,20260425T174851Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,1024,32,16,16,16,500,61751556,55163556,120.608508,107.741320,964868.062500,861930.562500,1929.736125,1723.861125,22472,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-25T17:48:51Z,20260425T174851Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,4096,32,16,16,16,200,94396656,83735856,115.230293,102.216621,1474947.750000,1308372.750000,7374.738750,6541.863750,22472,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-25T17:48:51Z,20260425T174851Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16384,32,16,16,16,100,186590356,165208756,113.885715,100.835422,2915474.312500,2581386.812500,29154.743125,25813.868125,22472,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-25T17:49:26Z,20260425T174926Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16,32,16,16,16,1000,9121056,9112056,570.066000,569.503500,142516.500000,142375.875000,142.516500,142.375875,22472,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-25T17:49:26Z,20260425T174926Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,64,32,16,16,16,1000,14603056,13967056,228.172750,218.235250,228172.750000,218235.250000,228.172750,218.235250,22472,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-25T17:49:26Z,20260425T174926Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,256,32,16,16,16,1000,36383056,33239056,142.121312,129.840062,568485.250000,519360.250000,568.485250,519.360250,22472,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-25T17:49:26Z,20260425T174926Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,1024,32,16,16,16,500,61751556,55163556,120.608508,107.741320,964868.062500,861930.562500,1929.736125,1723.861125,22472,51648,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
