run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-25T17:48:51Z,20260425T174851Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16,32,16,16,16,1000,9121056,9112056,570.066000,569.503500,142516.500000,142375.875000,142.516500,142.375875,22472,51648,0,2815.412262,2804.058939,0.175963,0.175254,19.757279,19.699207,1,
1,2026-04-25T17:48:51Z,20260425T174851Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,64,32,16,16,16,1000,14603056,13967056,228.172750,218.235250,228172.750000,218235.250000,228.172750,218.235250,22472,51648,0,3928.424440,3626.709545,0.061382,0.056667,17.220491,16.619606,1,
1,2026-04-25T17:48:51Z,20260425T174851Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,256,32,16,16,16,1000,36383056,33239056,142.121312,129.840062,568485.250000,519360.250000,568.485250,519.360250,22472,51648,0,4395.600624,4105.871958,0.017170,0.016039,7.732777,7.906361,1,
1,2026-04-25T17:48:51Z,20260425T174851Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,1024,32,16,16,16,500,61751556,55163556,120.608508,107.741320,964868.062500,861930.562500,1929.736125,1723.861125,22472,51648,0,4708.676052,4424.588061,0.009197,0.008642,4.880247,5.133491,1,
1,2026-04-25T17:48:51Z,20260425T174851Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,4096,32,16,16,16,200,94396656,83735856,115.230293,102.216621,1474947.750000,1308372.750000,7374.738750,6541.863750,22472,51648,0,5033.652488,4702.205806,0.006145,0.005740,3.412863,3.594100,1,
1,2026-04-25T17:48:51Z,20260425T174851Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16384,32,16,16,16,100,186590356,165208756,113.885715,100.835422,2915474.312500,2581386.812500,29154.743125,25813.868125,22472,51648,0,10071.730474,8374.634810,0.006147,0.005111,3.454658,3.244332,1,
2,2026-04-25T17:49:26Z,20260425T174926Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,16,32,16,16,16,1000,9121056,9112056,570.066000,569.503500,142516.500000,142375.875000,142.516500,142.375875,22472,51648,0,2819.977956,2802.979593,0.176249,0.175186,19.789319,19.691624,1,
2,2026-04-25T17:49:26Z,20260425T174926Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,64,32,16,16,16,1000,14603056,13967056,228.172750,218.235250,228172.750000,218235.250000,228.172750,218.235250,22472,51648,0,4158.874030,3837.491920,0.064982,0.059961,18.228184,17.588047,1,
2,2026-04-25T17:49:26Z,20260425T174926Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,256,32,16,16,16,1000,36383056,33239056,142.121312,129.840062,568485.250000,519360.250000,568.485250,519.360250,22472,51648,0,4558.622258,4248.704761,0.017807,0.016597,8.019126,8.180911,1,
2,2026-04-25T17:49:26Z,20260425T174926Z_gift_cofb_nrf52_armv7e_m,gift_cofb,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,1024,32,16,16,16,500,61751556,55163556,120.608508,107.741320,964868.062500,861930.562500,1929.736125,1723.861125,22472,51648,0,4780.336505,4490.109782,0.009337,0.008770,4.954679,5.209700,1,
