run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-25T22:30:53Z,20260425T223053Z_ml_kem_512_nrf52_armv7e_m,ml_kem_512,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,0,0,1632,0,32,10,11031772,0,0.000000,0.000000,172371.437500,0.000000,17237.143750,0.000000,24732,5668,0,2977.165275,0.000000,0.000000,0.000000,17.274576,0.000000,1,keygen
1,2026-04-25T22:30:53Z,20260425T223053Z_ml_kem_512_nrf52_armv7e_m,ml_kem_512,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,0,0,1632,0,32,10,12699188,0,0.000000,0.000000,198424.812500,0.000000,19842.481250,0.000000,24732,5668,0,3206.910390,0.000000,0.000000,0.000000,16.165900,0.000000,1,encap
1,2026-04-25T22:30:53Z,20260425T223053Z_ml_kem_512_nrf52_armv7e_m,ml_kem_512,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,0,0,1632,0,32,10,15476980,0,0.000000,0.000000,241827.812500,0.000000,24182.781250,0.000000,24732,5668,0,2483.607759,0.000000,0.000000,0.000000,10.270800,0.000000,1,decap
2,2026-04-25T22:30:59Z,20260425T223059Z_ml_kem_512_nrf52_armv7e_m,ml_kem_512,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,0,0,1632,0,32,10,11031772,0,0.000000,0.000000,172371.437500,0.000000,17237.143750,0.000000,24732,5668,0,2990.203649,0.000000,0.000000,0.000000,17.275053,0.000000,1,keygen
2,2026-04-25T22:30:59Z,20260425T223059Z_ml_kem_512_nrf52_armv7e_m,ml_kem_512,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,0,0,1632,0,32,10,12699188,0,0.000000,0.000000,198424.812500,0.000000,19842.481250,0.000000,24732,5668,0,3210.752998,0.000000,0.000000,0.000000,16.190371,0.000000,1,encap
2,2026-04-25T22:30:59Z,20260425T223059Z_ml_kem_512_nrf52_armv7e_m,ml_kem_512,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,0,0,1632,0,32,10,15476980,0,0.000000,0.000000,241827.812500,0.000000,24182.781250,0.000000,24732,5668,0,2492.812310,0.000000,0.000000,0.000000,10.311530,0.000000,1,decap
3,2026-04-25T22:31:05Z,20260425T223105Z_ml_kem_512_nrf52_armv7e_m,ml_kem_512,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,0,0,1632,0,32,10,11031772,0,0.000000,0.000000,172371.437500,0.000000,17237.143750,0.000000,24732,5668,0,2984.061113,0.000000,0.000000,0.000000,17.314589,0.000000,1,keygen
3,2026-04-25T22:31:05Z,20260425T223105Z_ml_kem_512_nrf52_armv7e_m,ml_kem_512,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,0,0,1632,0,32,10,12699188,0,0.000000,0.000000,198424.812500,0.000000,19842.481250,0.000000,24732,5668,0,3220.525809,0.000000,0.000000,0.000000,16.234535,0.000000,1,encap
3,2026-04-25T22:31:05Z,20260425T223105Z_ml_kem_512_nrf52_armv7e_m,ml_kem_512,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,0,0,1632,0,32,10,15476980,0,0.000000,0.000000,241827.812500,0.000000,24182.781250,0.000000,24732,5668,0,2507.774449,0.000000,0.000000,0.000000,10.372080,0.000000,1,decap
4,2026-04-25T22:31:12Z,20260425T223112Z_ml_kem_512_nrf52_armv7e_m,ml_kem_512,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,0,0,1632,0,32,10,11031772,0,0.000000,0.000000,172371.437500,0.000000,17237.143750,0.000000,24732,5668,0,2983.487101,0.000000,0.000000,0.000000,17.314397,0.000000,1,keygen
4,2026-04-25T22:31:12Z,20260425T223112Z_ml_kem_512_nrf52_armv7e_m,ml_kem_512,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,0,0,1632,0,32,10,12699188,0,0.000000,0.000000,198424.812500,0.000000,19842.481250,0.000000,24732,5668,0,3213.541867,0.000000,0.000000,0.000000,16.201881,0.000000,1,encap
4,2026-04-25T22:31:12Z,20260425T223112Z_ml_kem_512_nrf52_armv7e_m,ml_kem_512,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,0,0,1632,0,32,10,15476980,0,0.000000,0.000000,241827.812500,0.000000,24182.781250,0.000000,24732,5668,0,2513.214250,0.000000,0.000000,0.000000,10.397266,0.000000,1,decap
5,2026-04-25T22:31:18Z,20260425T223118Z_ml_kem_512_nrf52_armv7e_m,ml_kem_512,ref,0.1.0,nrf52,armv7e-m,GNU,15.2.1,-O2,64000000,0,0,1632,0,32,10,11031772,0,0.000000,0.000000,172371.437500,0.000000,17237.143750,0.000000,24732,5668,0,2983.366799,0.000000,0.000000,0.000000,17.310560,0.000000,1,keygen
