run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-23T19:31:19Z,20260423T193119Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16,32,16,16,16,1000,20970232,26330188,1310.639500,1645.636750,167761.856000,210641.504000,167.761856,210.641504,63048,54300,0,60009.710281,74685.280217,3.750607,4.667830,357.666368,354.378554,1,
1,2026-04-23T19:31:19Z,20260423T193119Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,64,32,16,16,16,1000,28701291,33664811,448.457672,526.012672,229610.328000,269318.488000,229.610328,269.318488,63048,54300,0,80016.132442,95945.989017,1.250252,1.499156,348.369556,356.304009,1,
1,2026-04-23T19:31:19Z,20260423T193119Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,256,32,16,16,16,1000,59630462,62977362,232.931492,246.005320,477043.696000,503818.896000,477.043696,503.818896,63048,54300,0,158945.489313,174610.266926,0.620881,0.682071,333.262722,346.728423,1,
1,2026-04-23T19:31:19Z,20260423T193119Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,1024,32,16,16,16,500,91749052,90136439,179.197367,176.047732,733992.416000,721091.512000,1467.984832,1442.183024,63048,54300,0,234561.995074,233338.004899,0.458129,0.455738,319.593964,323.645102,1,
1,2026-04-23T19:31:19Z,20260423T193119Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,4096,32,16,16,16,200,135744061,129871270,165.703199,158.534265,1085952.488000,1038970.160000,5429.762440,5194.850800,63048,54300,0,252015.910532,251753.238792,0.307637,0.307316,232.072205,242.339850,1,
1,2026-04-23T19:31:19Z,20260423T193119Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16384,32,16,16,16,100,265865277,252556266,162.271287,154.148112,2126922.216000,2020450.128000,21269.222160,20204.501280,63048,54300,0,297065.703727,268706.742857,0.181315,0.164006,139.676489,132.996393,1,
2,2026-04-23T19:32:14Z,20260423T193214Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16,32,16,16,16,1000,20982659,26321315,1311.416187,1645.082187,167861.272000,210570.520000,167.861272,210.570520,63048,54300,0,61280.875914,76573.258420,3.830055,4.785829,365.038725,363.121557,1,
2,2026-04-23T19:32:14Z,20260423T193214Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,64,32,16,16,16,1000,28708729,33654696,448.573891,525.854625,229669.832000,269237.568000,229.669832,269.237568,63048,54300,0,79560.207472,94921.849372,1.243128,1.483154,346.478857,352.255500,1,
2,2026-04-23T19:32:14Z,20260423T193214Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,256,32,16,16,16,1000,59641646,62981879,232.975180,246.022965,477133.168000,503855.032000,477.133168,503.855032,63048,54300,0,159804.780333,172923.425198,0.624237,0.675482,334.954672,343.314903,1,
2,2026-04-23T19:32:14Z,20260423T193214Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,1024,32,16,16,16,500,91750217,90127894,179.199643,176.031043,734001.736000,721023.152000,1468.003472,1442.046304,63048,54300,0,233593.912186,233988.220587,0.456238,0.457008,318.261387,324.504770,1,
2,2026-04-23T19:32:14Z,20260423T193214Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,4096,32,16,16,16,200,135759753,129868744,165.722355,158.531182,1086078.024000,1038949.952000,5430.390120,5194.749760,63048,54300,0,249655.228330,250894.917860,0.304755,0.306268,229.911572,241.506358,1,
2,2026-04-23T19:32:14Z,20260423T193214Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16384,32,16,16,16,100,265867050,252557541,162.272369,154.148890,2126936.400000,2020460.328000,21269.364000,20204.603280,63048,54300,0,298841.143292,264672.374356,0.182398,0.161543,140.503021,130.997556,1,
3,2026-04-23T19:33:09Z,20260423T193309Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16,32,16,16,16,1000,20971664,26323308,1310.729000,1645.206750,167773.312000,210586.464000,167.773312,210.586464,63048,54300,0,61230.956761,77223.829558,3.826935,4.826489,364.809275,366.423865,1,
3,2026-04-23T19:33:09Z,20260423T193309Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,64,32,16,16,16,1000,28727727,33679686,448.870734,526.245094,229821.816000,269437.488000,229.821816,269.437488,63048,54300,0,80054.561719,95889.383648,1.250853,1.498272,348.536867,356.176469,1,
3,2026-04-23T19:33:09Z,20260423T193309Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,256,32,16,16,16,1000,59626073,62991101,232.914348,246.058988,477008.584000,503928.808000,477.008584,503.928808,63048,54300,0,159908.350130,173948.670630,0.624642,0.679487,335.259595,345.179056,1,
3,2026-04-23T19:33:09Z,20260423T193309Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,1024,32,16,16,16,500,91744797,90140318,179.189057,176.055309,733958.376000,721122.544000,1467.916752,1442.245088,63048,54300,0,234410.045916,233779.957018,0.457832,0.456601,319.373333,324.258100,1,
3,2026-04-23T19:33:09Z,20260423T193309Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,4096,32,16,16,16,200,135747133,129867538,165.706949,158.529709,1085977.064000,1038940.304000,5429.885320,5194.701520,63048,54300,0,250472.912849,250196.941416,0.305753,0.305416,230.677868,240.841745,1,
3,2026-04-23T19:33:09Z,20260423T193309Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16384,32,16,16,16,100,265868426,252554994,162.273209,154.147335,2126947.408000,2020439.952000,21269.474080,20204.399520,63048,54300,0,301271.825921,267459.592932,0.183882,0.163244,141.656236,132.377068,1,
4,2026-04-23T19:34:04Z,20260423T193404Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16,32,16,16,16,1000,20970914,26354706,1310.682125,1647.169125,167767.312000,210837.648000,167.767312,210.837648,63048,54300,0,60361.248033,75981.467698,3.772578,4.748842,359.627618,360.528910,1,
4,2026-04-23T19:34:04Z,20260423T193404Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,64,32,16,16,16,1000,28719806,33667403,448.746969,526.053172,229758.448000,269339.224000,229.758448,269.339224,63048,54300,0,79909.994243,95673.025805,1.248594,1.494891,347.860130,355.455338,1,
4,2026-04-23T19:34:04Z,20260423T193404Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,256,32,16,16,16,1000,59636840,62961506,232.956406,245.943383,477094.720000,503692.048000,477.094720,503.692048,63048,54300,0,158890.660140,174088.011754,0.620667,0.680031,333.082288,345.434140,1,
4,2026-04-23T19:34:04Z,20260423T193404Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,1024,32,16,16,16,500,91746600,90130630,179.192578,176.036387,733972.800000,721045.040000,1467.945600,1442.090080,63048,54300,0,235895.440494,234274.934149,0.460733,0.457568,321.451863,324.944644,1,
4,2026-04-23T19:34:04Z,20260423T193404Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,4096,32,16,16,16,200,135756197,129860743,165.718014,158.521415,1086049.576000,1038885.944000,5430.247880,5194.429720,63048,54300,0,248503.528713,249969.370910,0.303349,0.305138,228.850953,240.622684,1,
4,2026-04-23T19:34:04Z,20260423T193404Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16384,32,16,16,16,100,265860450,252555179,162.268341,154.147448,2126883.600000,2020441.432000,21268.836000,20204.414320,63048,54300,0,300039.312224,267659.178618,0.183129,0.163366,141.072569,132.475852,1,
5,2026-04-23T19:35:00Z,20260423T193500Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16,32,16,16,16,1000,20958742,26315664,1309.921375,1644.729000,167669.936000,210525.312000,167.669936,210.525312,63048,54300,0,60726.872025,76138.327034,3.795430,4.758645,361.940753,361.648577,1,
5,2026-04-23T19:35:00Z,20260423T193500Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,64,32,16,16,16,1000,28702613,33676347,448.478328,526.192922,229620.904000,269410.776000,229.620904,269.410776,63048,54300,0,80977.233874,96215.117125,1.265269,1.503361,352.553943,357.303441,1,
5,2026-04-23T19:35:00Z,20260423T193500Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,256,32,16,16,16,1000,59630655,62993365,232.932246,246.067832,477045.240000,503946.920000,477.045240,503.946920,63048,54300,0,158624.118618,173113.108166,0.619625,0.676223,332.523537,343.691492,1,
5,2026-04-23T19:35:00Z,20260423T193500Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,1024,32,16,16,16,500,91737233,90137055,179.174283,176.048936,733897.864000,721096.440000,1467.795728,1442.192880,63048,54300,0,232142.020213,234843.490372,0.453402,0.458679,316.310183,325.733245,1,
5,2026-04-23T19:35:00Z,20260423T193500Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,4096,32,16,16,16,200,135747071,129868681,165.706874,158.531105,1085976.568000,1038949.448000,5429.882840,5194.747240,63048,54300,0,252723.455494,249955.099913,0.308500,0.305121,232.730455,240.579998,1,
5,2026-04-23T19:35:00Z,20260423T193500Z_ascon_aead128_pico_armv6_m,ascon_aead128,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,16384,32,16,16,16,100,265865127,252558319,162.271196,154.149365,2126921.016000,2020466.552000,21269.210160,20204.665520,63048,54300,0,298258.333041,274896.191324,0.182042,0.167783,140.233127,136.061964,1,
