run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-23T19:57:22Z,20260423T195722Z_ml_kem_512_pico_armv6_m,ml_kem_512,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,0,0,1632,0,32,10,12763708,0,0.000000,0.000000,102109.664000,0.000000,10210.966400,0.000000,50232,8692,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
1,2026-04-23T19:57:22Z,20260423T195722Z_ml_kem_512_pico_armv6_m,ml_kem_512,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,0,0,1632,0,32,10,14906420,0,0.000000,0.000000,119251.360000,0.000000,11925.136000,0.000000,50232,8692,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,encap
1,2026-04-23T19:57:22Z,20260423T195722Z_ml_kem_512_pico_armv6_m,ml_kem_512,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,0,0,1632,0,32,10,18059990,0,0.000000,0.000000,144479.920000,0.000000,14447.992000,0.000000,50232,8692,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,decap
2,2026-04-23T19:57:48Z,20260423T195748Z_ml_kem_512_pico_armv6_m,ml_kem_512,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,0,0,1632,0,32,10,12761485,0,0.000000,0.000000,102091.880000,0.000000,10209.188000,0.000000,50232,8692,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
2,2026-04-23T19:57:48Z,20260423T195748Z_ml_kem_512_pico_armv6_m,ml_kem_512,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,0,0,1632,0,32,10,14906858,0,0.000000,0.000000,119254.864000,0.000000,11925.486400,0.000000,50232,8692,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,encap
2,2026-04-23T19:57:48Z,20260423T195748Z_ml_kem_512_pico_armv6_m,ml_kem_512,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,0,0,1632,0,32,10,18056969,0,0.000000,0.000000,144455.752000,0.000000,14445.575200,0.000000,50232,8692,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,decap
3,2026-04-23T19:58:13Z,20260423T195813Z_ml_kem_512_pico_armv6_m,ml_kem_512,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,0,0,1632,0,32,10,12762842,0,0.000000,0.000000,102102.736000,0.000000,10210.273600,0.000000,50232,8692,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
3,2026-04-23T19:58:13Z,20260423T195813Z_ml_kem_512_pico_armv6_m,ml_kem_512,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,0,0,1632,0,32,10,14908539,0,0.000000,0.000000,119268.312000,0.000000,11926.831200,0.000000,50232,8692,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,encap
3,2026-04-23T19:58:13Z,20260423T195813Z_ml_kem_512_pico_armv6_m,ml_kem_512,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,0,0,1632,0,32,10,18061993,0,0.000000,0.000000,144495.944000,0.000000,14449.594400,0.000000,50232,8692,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,decap
4,2026-04-23T19:58:39Z,20260423T195839Z_ml_kem_512_pico_armv6_m,ml_kem_512,ref,0.1.0,pico,armv6-m,GNU,15.2.1,-O2,125000000,0,0,1632,0,32,10,12761573,0,0.000000,0.000000,102092.584000,0.000000,10209.258400,0.000000,50232,8692,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
