run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-24T20:12:13Z,20260424T201213Z_aes_128_gcm_rpi5_aarch64,aes_128_gcm,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16,32,16,12,16,50,452357,452219,565.446250,565.273750,8376.981481,8374.425926,167.539630,167.488519,18917,51032,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-24T20:12:13Z,20260424T201213Z_aes_128_gcm_rpi5_aarch64,aes_128_gcm,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,64,32,16,12,16,20,347070,347127,271.148438,271.192969,6427.222222,6428.277778,321.361111,321.413889,18917,51032,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-24T20:12:13Z,20260424T201213Z_aes_128_gcm_rpi5_aarch64,aes_128_gcm,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,256,32,16,12,16,10,505955,505648,197.638672,197.518750,9369.537037,9363.851852,936.953704,936.385185,18917,51032,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-24T20:12:13Z,20260424T201213Z_aes_128_gcm_rpi5_aarch64,aes_128_gcm,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,1024,32,16,12,16,5,920534,917572,179.791797,179.213281,17046.925926,16992.074074,3409.385185,3398.414815,18917,51032,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-24T20:12:13Z,20260424T201213Z_aes_128_gcm_rpi5_aarch64,aes_128_gcm,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,4096,32,16,12,16,3,2146004,2148409,174.642253,174.837972,39740.814815,39785.351852,13246.938272,13261.783951,18917,51032,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-24T20:12:13Z,20260424T201213Z_aes_128_gcm_rpi5_aarch64,aes_128_gcm,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16384,32,16,12,16,2,5685387,5694790,173.504242,173.791199,105284.944444,105459.074074,52642.472222,52729.537037,18917,51032,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:12:16Z,20260424T201216Z_aes_128_gcm_rpi5_aarch64,aes_128_gcm,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16,32,16,12,16,50,452339,452866,565.423750,566.082500,8376.648148,8386.407407,167.532963,167.728148,18917,51032,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:12:16Z,20260424T201216Z_aes_128_gcm_rpi5_aarch64,aes_128_gcm,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,64,32,16,12,16,20,347325,347180,271.347656,271.234375,6431.944444,6429.259259,321.597222,321.462963,18917,51032,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:12:16Z,20260424T201216Z_aes_128_gcm_rpi5_aarch64,aes_128_gcm,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,256,32,16,12,16,10,505978,505822,197.647656,197.586719,9369.962963,9367.074074,936.996296,936.707407,18917,51032,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:12:16Z,20260424T201216Z_aes_128_gcm_rpi5_aarch64,aes_128_gcm,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,1024,32,16,12,16,5,918365,917240,179.368164,179.148438,17006.759259,16985.925926,3401.351852,3397.185185,18917,51032,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
