run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-24T20:11:08Z,20260424T201108Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16,32,20,16,16,1000,23946,23552,1.496625,1.472000,443.444444,436.148148,0.443444,0.436148,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-24T20:11:08Z,20260424T201108Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,64,32,20,16,16,1000,40932,36780,0.639563,0.574688,758.000000,681.111111,0.758000,0.681111,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-24T20:11:08Z,20260424T201108Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,256,32,20,16,16,1000,109273,90106,0.426848,0.351977,2023.574074,1668.629630,2.023574,1.668630,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-24T20:11:08Z,20260424T201108Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,1024,32,20,16,16,500,190438,150785,0.371949,0.294502,3526.629630,2792.314815,7.053259,5.584630,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-24T20:11:08Z,20260424T201108Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,4096,32,20,16,16,200,293180,229585,0.357886,0.280255,5429.259259,4251.574074,27.146296,21.257870,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-24T20:11:08Z,20260424T201108Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16384,32,20,16,16,100,584906,453427,0.356998,0.276750,10831.592593,8396.796296,108.315926,83.967963,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:11:10Z,20260424T201110Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16,32,20,16,16,1000,23868,23586,1.491750,1.474125,442.000000,436.777778,0.442000,0.436778,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:11:10Z,20260424T201110Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,64,32,20,16,16,1000,40800,36803,0.637500,0.575047,755.555556,681.537037,0.755556,0.681537,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:11:10Z,20260424T201110Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,256,32,20,16,16,1000,109268,90108,0.426828,0.351984,2023.481481,1668.666667,2.023481,1.668667,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:11:10Z,20260424T201110Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,1024,32,20,16,16,500,190381,150869,0.371838,0.294666,3525.574074,2793.870370,7.051148,5.587741,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:11:10Z,20260424T201110Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,4096,32,20,16,16,200,303613,233113,0.370621,0.284562,5622.462963,4316.907407,28.112315,21.584537,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:11:10Z,20260424T201110Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16384,32,20,16,16,100,584305,452982,0.356631,0.276478,10820.462963,8388.555556,108.204630,83.885556,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
3,2026-04-24T20:11:12Z,20260424T201112Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16,32,20,16,16,1000,23890,23859,1.493125,1.491188,442.407407,441.833333,0.442407,0.441833,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
3,2026-04-24T20:11:12Z,20260424T201112Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,64,32,20,16,16,1000,40914,36728,0.639281,0.573875,757.666667,680.148148,0.757667,0.680148,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
3,2026-04-24T20:11:12Z,20260424T201112Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,256,32,20,16,16,1000,109668,90383,0.428391,0.353059,2030.888889,1673.759259,2.030889,1.673759,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
3,2026-04-24T20:11:12Z,20260424T201112Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,1024,32,20,16,16,500,190531,150854,0.372131,0.294637,3528.351852,2793.592593,7.056704,5.587185,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
3,2026-04-24T20:11:12Z,20260424T201112Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,4096,32,20,16,16,200,293146,229814,0.357844,0.280535,5428.629630,4255.814815,27.143148,21.279074,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
3,2026-04-24T20:11:12Z,20260424T201112Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16384,32,20,16,16,100,581636,453214,0.355002,0.276620,10771.037037,8392.851852,107.710370,83.928519,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
4,2026-04-24T20:11:14Z,20260424T201114Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16,32,20,16,16,1000,23892,23575,1.493250,1.473437,442.444444,436.574074,0.442444,0.436574,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
4,2026-04-24T20:11:14Z,20260424T201114Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,64,32,20,16,16,1000,40743,36942,0.636609,0.577219,754.500000,684.111111,0.754500,0.684111,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
4,2026-04-24T20:11:14Z,20260424T201114Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,256,32,20,16,16,1000,109233,90262,0.426691,0.352586,2022.833333,1671.518519,2.022833,1.671519,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
4,2026-04-24T20:11:14Z,20260424T201114Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,1024,32,20,16,16,500,190433,152864,0.371939,0.298563,3526.537037,2830.814815,7.053074,5.661630,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
4,2026-04-24T20:11:14Z,20260424T201114Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,4096,32,20,16,16,200,293428,229867,0.358188,0.280599,5433.851852,4256.796296,27.169259,21.283981,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
4,2026-04-24T20:11:14Z,20260424T201114Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16384,32,20,16,16,100,581696,452712,0.355039,0.276313,10772.148148,8383.555556,107.721481,83.835556,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
5,2026-04-24T20:11:17Z,20260424T201117Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16,32,20,16,16,1000,23885,23594,1.492813,1.474625,442.314815,436.925926,0.442315,0.436926,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
5,2026-04-24T20:11:17Z,20260424T201117Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,64,32,20,16,16,1000,40757,36766,0.636828,0.574469,754.759259,680.851852,0.754759,0.680852,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
5,2026-04-24T20:11:17Z,20260424T201117Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,256,32,20,16,16,1000,109218,90127,0.426633,0.352059,2022.555556,1669.018519,2.022556,1.669019,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
5,2026-04-24T20:11:17Z,20260424T201117Z_ascon_aead80pq_rpi5_aarch64,ascon_aead80pq,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,1024,32,20,16,16,500,190325,151008,0.371729,0.294938,3524.537037,2796.444444,7.049074,5.592889,17392,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
