run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-24T20:11:27Z,20260424T201127Z_gift_cofb_rpi5_aarch64,gift_cofb,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16,32,16,16,16,1000,66617,66546,4.163563,4.159125,1233.648148,1232.333333,1.233648,1.232333,17908,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-24T20:11:27Z,20260424T201127Z_gift_cofb_rpi5_aarch64,gift_cofb,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,64,32,16,16,16,1000,112817,109030,1.762766,1.703594,2089.203704,2019.074074,2.089204,2.019074,17908,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-24T20:11:27Z,20260424T201127Z_gift_cofb_rpi5_aarch64,gift_cofb,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,256,32,16,16,16,1000,299370,281342,1.169414,1.098992,5543.888889,5210.037037,5.543889,5.210037,17908,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-24T20:11:27Z,20260424T201127Z_gift_cofb_rpi5_aarch64,gift_cofb,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,1024,32,16,16,16,500,514655,479804,1.005186,0.937117,9530.648148,8885.259259,19.061296,17.770519,17908,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-24T20:11:27Z,20260424T201127Z_gift_cofb_rpi5_aarch64,gift_cofb,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,4096,32,16,16,16,200,793809,738111,0.969005,0.901014,14700.166667,13668.722222,73.500833,68.343611,17908,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-24T20:11:27Z,20260424T201127Z_gift_cofb_rpi5_aarch64,gift_cofb,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16384,32,16,16,16,100,1570213,1448200,0.958382,0.883911,29078.018519,26818.518519,290.780185,268.185185,17908,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:11:29Z,20260424T201129Z_gift_cofb_rpi5_aarch64,gift_cofb,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16,32,16,16,16,1000,66817,66534,4.176062,4.158375,1237.351852,1232.111111,1.237352,1.232111,17908,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:11:29Z,20260424T201129Z_gift_cofb_rpi5_aarch64,gift_cofb,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,64,32,16,16,16,1000,112516,109000,1.758063,1.703125,2083.629630,2018.518519,2.083630,2.018519,17908,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:11:29Z,20260424T201129Z_gift_cofb_rpi5_aarch64,gift_cofb,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,256,32,16,16,16,1000,296105,278917,1.156660,1.089520,5483.425926,5165.129630,5.483426,5.165130,17908,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:11:29Z,20260424T201129Z_gift_cofb_rpi5_aarch64,gift_cofb,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,1024,32,16,16,16,500,514525,479218,1.004932,0.935973,9528.240741,8874.407407,19.056481,17.748815,17908,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:11:29Z,20260424T201129Z_gift_cofb_rpi5_aarch64,gift_cofb,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,4096,32,16,16,16,200,792596,732525,0.967524,0.894196,14677.703704,13565.277778,73.388519,67.826389,17908,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-24T20:11:29Z,20260424T201129Z_gift_cofb_rpi5_aarch64,gift_cofb,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16384,32,16,16,16,100,1568010,1449765,0.957037,0.884866,29037.222222,26847.500000,290.372222,268.475000,17908,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
3,2026-04-24T20:11:31Z,20260424T201131Z_gift_cofb_rpi5_aarch64,gift_cofb,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,16,32,16,16,16,1000,66745,66701,4.171563,4.168812,1236.018519,1235.203704,1.236019,1.235204,17908,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
3,2026-04-24T20:11:31Z,20260424T201131Z_gift_cofb_rpi5_aarch64,gift_cofb,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,64,32,16,16,16,1000,112519,112934,1.758109,1.764594,2083.685185,2091.370370,2.083685,2.091370,17908,50992,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
