run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-24T20:12:32Z,20260424T201232Z_ml_kem_512_rpi5_aarch64,ml_kem_512,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,0,0,1632,0,32,10,25443,0,0.000000,0.000000,471.166667,0.000000,47.116667,0.000000,24692,5076,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
1,2026-04-24T20:12:32Z,20260424T201232Z_ml_kem_512_rpi5_aarch64,ml_kem_512,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,0,0,1632,0,32,10,31628,0,0.000000,0.000000,585.703704,0.000000,58.570370,0.000000,24692,5076,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,encap
1,2026-04-24T20:12:32Z,20260424T201232Z_ml_kem_512_rpi5_aarch64,ml_kem_512,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,0,0,1632,0,32,10,42374,0,0.000000,0.000000,784.703704,0.000000,78.470370,0.000000,24692,5076,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,decap
2,2026-04-24T20:12:34Z,20260424T201234Z_ml_kem_512_rpi5_aarch64,ml_kem_512,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,0,0,1632,0,32,10,25465,0,0.000000,0.000000,471.574074,0.000000,47.157407,0.000000,24692,5076,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
2,2026-04-24T20:12:34Z,20260424T201234Z_ml_kem_512_rpi5_aarch64,ml_kem_512,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,0,0,1632,0,32,10,31597,0,0.000000,0.000000,585.129630,0.000000,58.512963,0.000000,24692,5076,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,encap
2,2026-04-24T20:12:34Z,20260424T201234Z_ml_kem_512_rpi5_aarch64,ml_kem_512,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,0,0,1632,0,32,10,41870,0,0.000000,0.000000,775.370370,0.000000,77.537037,0.000000,24692,5076,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,decap
3,2026-04-24T20:12:36Z,20260424T201236Z_ml_kem_512_rpi5_aarch64,ml_kem_512,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,0,0,1632,0,32,10,25745,0,0.000000,0.000000,476.759259,0.000000,47.675926,0.000000,24692,5076,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
3,2026-04-24T20:12:36Z,20260424T201236Z_ml_kem_512_rpi5_aarch64,ml_kem_512,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,0,0,1632,0,32,10,31619,0,0.000000,0.000000,585.537037,0.000000,58.553704,0.000000,24692,5076,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,encap
3,2026-04-24T20:12:36Z,20260424T201236Z_ml_kem_512_rpi5_aarch64,ml_kem_512,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,0,0,1632,0,32,10,41901,0,0.000000,0.000000,775.944444,0.000000,77.594444,0.000000,24692,5076,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,decap
4,2026-04-24T20:12:38Z,20260424T201238Z_ml_kem_512_rpi5_aarch64,ml_kem_512,ref,0.1.0,rpi5,aarch64,GNU,14.2.0,-O2,54000000,0,0,1632,0,32,10,25436,0,0.000000,0.000000,471.037037,0.000000,47.103704,0.000000,24692,5076,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,keygen
