run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-23T02:06:18Z,20260423T020618Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,16,16,16,1000,9958290,9926274,622.393125,620.392125,55323.833333,55145.966667,55.323833,55.145967,40628,68616,0,17585.848111,17459.607002,1.099116,1.091225,323.976476,322.579344,1,
1,2026-04-23T02:06:18Z,20260423T020618Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,16,16,16,1000,14963393,14631314,233.803016,228.614281,83129.961111,81285.077778,83.129961,81.285078,40628,68616,0,26220.686055,25581.686489,0.409698,0.399714,321.233520,320.522305,1,
1,2026-04-23T02:06:18Z,20260423T020618Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,16,16,16,1000,34983905,33451321,136.655879,130.669223,194355.027778,185840.672222,194.355028,185.840672,40628,68616,0,61996.076703,58732.366271,0.242172,0.229423,324.905741,321.931436,1,
1,2026-04-23T02:06:18Z,20260423T020618Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,16,16,16,500,57532974,54366195,112.369090,106.183975,319627.633333,302034.416667,639.255267,604.068833,40628,68616,0,99115.742048,95602.877129,0.193585,0.186724,315.938216,322.438034,1,
1,2026-04-23T02:06:18Z,20260423T020618Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,4096,32,16,16,16,200,87078786,81971272,106.297346,100.062588,483771.033333,455395.955556,2418.855167,2276.979778,40628,68616,0,152597.430563,143407.069667,0.186276,0.175057,321.215483,320.709080,1,
1,2026-04-23T02:06:18Z,20260423T020618Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16384,32,16,16,16,100,171670846,161435282,104.779569,98.532277,953726.922222,896862.677778,9537.269222,8968.626778,40628,68616,0,287936.765018,144230.596781,0.175743,0.088031,307.491289,163.805334,1,
2,2026-04-23T02:06:35Z,20260423T020635Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,16,16,16,1000,9958290,9926274,622.393125,620.392125,55323.833333,55145.966667,55.323833,55.145967,40628,68616,0,17517.968706,17413.188869,1.094873,1.088324,322.725963,321.721734,1,
2,2026-04-23T02:06:35Z,20260423T020635Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,16,16,16,1000,14963393,14631314,233.803016,228.614281,83129.961111,81285.077778,83.129961,81.285078,40628,68616,0,26352.438426,25804.463588,0.411757,0.403195,322.971287,323.566942,1,
2,2026-04-23T02:06:35Z,20260423T020635Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,16,16,16,1000,34983905,33451321,136.655879,130.669223,194355.027778,185840.672222,194.355028,185.840672,40628,68616,0,61600.547066,58462.213076,0.240627,0.228368,322.832870,320.395756,1,
2,2026-04-23T02:06:35Z,20260423T020635Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,16,16,16,500,57532974,54366195,112.369090,106.183975,319627.633333,302034.416667,639.255267,604.068833,40628,68616,0,98883.134079,95688.472796,0.193131,0.186892,315.071223,322.794764,1,
2,2026-04-23T02:06:35Z,20260423T020635Z_ascon_aead128_stm32_armv7e_m,ascon_aead128,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,4096,32,16,16,16,200,87078786,81971272,106.297346,100.062588,483771.033333,455395.955556,2418.855167,2276.979778,40628,68616,0,153293.146406,144652.643792,0.187125,0.176578,322.892357,323.766147,1,
