run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-23T02:08:19Z,20260423T020819Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,20,16,16,1000,11095496,11118514,693.468500,694.907125,61641.644444,61769.522222,61.641644,61.769522,37812,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-23T02:08:19Z,20260423T020819Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,20,16,16,1000,17714970,17515962,276.796406,273.686906,98416.500000,97310.900000,98.416500,97.310900,37812,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-23T02:08:19Z,20260423T020819Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,20,16,16,1000,44192954,43105762,172.628727,168.381883,245516.411111,239476.455556,245.516411,239.476456,37812,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-23T02:08:19Z,20260423T020819Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,20,16,16,500,75052356,72732434,146.586633,142.055535,416957.533333,404069.077778,833.915067,808.138156,37812,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-23T02:08:19Z,20260423T020819Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,4096,32,20,16,16,200,114750305,110980098,140.076056,135.473752,637501.694444,616556.100000,3187.508472,3082.780500,37812,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-23T02:08:19Z,20260423T020819Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16384,32,20,16,16,100,226833966,219263810,138.448466,133.828009,1260188.700000,1218132.277778,12601.887000,12181.322778,37812,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-23T02:08:39Z,20260423T020839Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,20,16,16,1000,11095496,11118514,693.468500,694.907125,61641.644444,61769.522222,61.641644,61.769522,37812,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-23T02:08:39Z,20260423T020839Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,20,16,16,1000,17714970,17515962,276.796406,273.686906,98416.500000,97310.900000,98.416500,97.310900,37812,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-23T02:08:39Z,20260423T020839Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,20,16,16,1000,44192954,43105762,172.628727,168.381883,245516.411111,239476.455556,245.516411,239.476456,37812,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-23T02:08:39Z,20260423T020839Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,20,16,16,500,75052356,72732434,146.586633,142.055535,416957.533333,404069.077778,833.915067,808.138156,37812,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
