run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-23T02:08:19Z,20260423T020819Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,20,16,16,1000,11095496,11118514,693.468500,694.907125,61641.644444,61769.522222,61.641644,61.769522,37812,68616,0,19579.043992,19598.507140,1.223690,1.224907,323.787808,323.274345,1,
1,2026-04-23T02:08:19Z,20260423T020819Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,20,16,16,1000,17714970,17515962,276.796406,273.686906,98416.500000,97310.900000,98.416500,97.310900,37812,68616,0,30549.855154,30881.371323,0.477341,0.482521,316.271551,323.365145,1,
1,2026-04-23T02:08:19Z,20260423T020819Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,20,16,16,1000,44192954,43105762,172.628727,168.381883,245516.411111,239476.455556,245.516411,239.476456,37812,68616,0,77841.401580,75639.880244,0.304068,0.295468,323.119062,321.829034,1,
1,2026-04-23T02:08:19Z,20260423T020819Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,20,16,16,500,75052356,72732434,146.586633,142.055535,416957.533333,404069.077778,833.915067,808.138156,37812,68616,0,108638.173439,105430.304150,0.212184,0.205919,265.477018,265.713927,1,
1,2026-04-23T02:08:19Z,20260423T020819Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,4096,32,20,16,16,200,114750305,110980098,140.076056,135.473752,637501.694444,616556.100000,3187.508472,3082.780500,37812,68616,0,114069.566579,111470.735855,0.139245,0.136073,182.274350,184.306270,1,
1,2026-04-23T02:08:19Z,20260423T020819Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16384,32,20,16,16,100,226833966,219263810,138.448466,133.828009,1260188.700000,1218132.277778,12601.887000,12181.322778,37812,68616,0,122257.535510,81840.993773,0.074620,0.049952,98.846387,68.479024,1,
2,2026-04-23T02:08:39Z,20260423T020839Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,20,16,16,1000,11095496,11118514,693.468500,694.907125,61641.644444,61769.522222,61.641644,61.769522,37812,68616,0,19530.082689,19502.947570,1.220630,1.218934,323.145112,321.698104,1,
2,2026-04-23T02:08:39Z,20260423T020839Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,20,16,16,1000,17714970,17515962,276.796406,273.686906,98416.500000,97310.900000,98.416500,97.310900,37812,68616,0,30357.592369,30686.141355,0.474337,0.479471,314.484609,321.531278,1,
2,2026-04-23T02:08:39Z,20260423T020839Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,20,16,16,1000,44192954,43105762,172.628727,168.381883,245516.411111,239476.455556,245.516411,239.476456,37812,68616,0,76801.784327,75458.075573,0.300007,0.294758,318.886350,321.269082,1,
2,2026-04-23T02:08:39Z,20260423T020839Z_ascon_aead80pq_stm32_armv7e_m,ascon_aead80pq,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,20,16,16,500,75052356,72732434,146.586633,142.055535,416957.533333,404069.077778,833.915067,808.138156,37812,68616,0,107170.064279,104351.470635,0.209317,0.203811,261.889428,263.119302,1,
