run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-23T02:10:22Z,20260423T021022Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,16,16,16,1000,8737079,8764037,546.067437,547.752313,48539.327778,48689.094444,48.539328,48.689094,25768,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-23T02:10:22Z,20260423T021022Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,16,16,16,1000,13703776,13391585,214.121500,209.243516,76132.088889,74397.694444,76.132089,74.397694,25768,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-23T02:10:22Z,20260423T021022Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,16,16,16,1000,33442633,31774252,130.635285,124.118172,185792.405556,176523.622222,185.792406,176.523622,25768,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-23T02:10:22Z,20260423T021022Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,16,16,16,500,56199416,52652481,109.764484,102.836877,312218.977778,292513.783333,624.437956,585.027567,25768,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-23T02:10:22Z,20260423T021022Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,4096,32,16,16,16,200,85644735,79885554,104.546796,97.516545,475804.083333,443808.633333,2379.020417,2219.043167,25768,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
1,2026-04-23T02:10:22Z,20260423T021022Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16384,32,16,16,16,100,169197155,157592612,103.269748,96.186897,939984.194444,875514.511111,9399.841944,8755.145111,25768,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-23T02:10:38Z,20260423T021038Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,16,16,16,1000,8737079,8764037,546.067437,547.752313,48539.327778,48689.094444,48.539328,48.689094,25768,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-23T02:10:38Z,20260423T021038Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,16,16,16,1000,13703776,13391585,214.121500,209.243516,76132.088889,74397.694444,76.132089,74.397694,25768,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-23T02:10:38Z,20260423T021038Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,16,16,16,1000,33442633,31774252,130.635285,124.118172,185792.405556,176523.622222,185.792406,176.523622,25768,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
2,2026-04-23T02:10:38Z,20260423T021038Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,16,16,16,500,56199416,52652481,109.764484,102.836877,312218.977778,292513.783333,624.437956,585.027567,25768,68616,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1,
