run,timestamp_iso,run_id,algorithm,implementation,version,board,arch,compiler,compiler_version,cflags,freq_hz,msg_len,ad_len,key_len,nonce_len,tag_len,iterations,enc_cycles_total,dec_cycles_total,enc_cycles_per_byte,dec_cycles_per_byte,enc_time_us_total,dec_time_us_total,enc_time_us_per_op,dec_time_us_per_op,flash_bytes,ram_bytes,stack_bytes_peak,energy_uJ_enc_total,energy_uJ_dec_total,energy_uJ_per_byte_enc,energy_uJ_per_byte_dec,avg_power_mW_enc,avg_power_mW_dec,ok,notes
1,2026-04-23T02:10:22Z,20260423T021022Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,16,16,16,1000,8737079,8764037,546.067437,547.752313,48539.327778,48689.094444,48.539328,48.689094,25768,68616,0,15818.682852,15932.770703,0.988668,0.995798,332.368911,333.670591,1,
1,2026-04-23T02:10:22Z,20260423T021022Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,16,16,16,1000,13703776,13391585,214.121500,209.243516,76132.088889,74397.694444,76.132089,74.397694,25768,68616,0,24934.019761,24224.992081,0.389594,0.378516,333.844616,332.133568,1,
1,2026-04-23T02:10:22Z,20260423T021022Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,16,16,16,1000,33442633,31774252,130.635285,124.118172,185792.405556,176523.622222,185.792406,176.523622,25768,68616,0,60998.767032,57596.165195,0.238276,0.224985,334.755710,332.685431,1,
1,2026-04-23T02:10:22Z,20260423T021022Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,16,16,16,500,56199416,52652481,109.764484,102.836877,312218.977778,292513.783333,624.437956,585.027567,25768,68616,0,98767.562061,95874.063299,0.192905,0.187254,322.638014,334.274354,1,
1,2026-04-23T02:10:22Z,20260423T021022Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,4096,32,16,16,16,200,85644735,79885554,104.546796,97.516545,475804.083333,443808.633333,2379.020417,2219.043167,25768,68616,0,155083.088206,145032.271495,0.189310,0.177041,332.283818,333.407521,1,
1,2026-04-23T02:10:22Z,20260423T021022Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16384,32,16,16,16,100,169197155,157592612,103.269748,96.186897,939984.194444,875514.511111,9399.841944,8755.145111,25768,68616,0,263387.027089,139888.290748,0.160759,0.085381,285.766084,162.885718,1,
2,2026-04-23T02:10:38Z,20260423T021038Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,16,16,16,1000,8737079,8764037,546.067437,547.752313,48539.327778,48689.094444,48.539328,48.689094,25768,68616,0,15804.253398,15887.304987,0.987766,0.992957,332.065731,332.936319,1,
2,2026-04-23T02:10:38Z,20260423T021038Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,16,16,16,1000,13703776,13391585,214.121500,209.243516,76132.088889,74397.694444,76.132089,74.397694,25768,68616,0,24894.018204,24209.894735,0.388969,0.378280,333.588184,331.784425,1,
2,2026-04-23T02:10:38Z,20260423T021038Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,16,16,16,1000,33442633,31774252,130.635285,124.118172,185792.405556,176523.622222,185.792406,176.523622,25768,68616,0,61115.416511,57962.116290,0.238732,0.226415,335.510950,334.980625,1,
2,2026-04-23T02:10:38Z,20260423T021038Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,16,16,16,500,56199416,52652481,109.764484,102.836877,312218.977778,292513.783333,624.437956,585.027567,25768,68616,0,99413.524957,96817.725614,0.194167,0.189097,324.615592,337.343992,1,
2,2026-04-23T02:10:38Z,20260423T021038Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,4096,32,16,16,16,200,85644735,79885554,104.546796,97.516545,475804.083333,443808.633333,2379.020417,2219.043167,25768,68616,0,156024.126057,145603.995698,0.190459,0.177739,334.188222,334.433524,1,
2,2026-04-23T02:10:38Z,20260423T021038Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16384,32,16,16,16,100,169197155,157592612,103.269748,96.186897,939984.194444,875514.511111,9399.841944,8755.145111,25768,68616,0,263967.331406,141571.538320,0.161113,0.086408,286.298624,164.887688,1,
3,2026-04-23T02:10:54Z,20260423T021054Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,16,16,16,1000,8737079,8764037,546.067437,547.752313,48539.327778,48689.094444,48.539328,48.689094,25768,68616,0,16002.851466,16001.788206,1.000178,1.000112,336.238507,335.115983,1,
3,2026-04-23T02:10:54Z,20260423T021054Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,16,16,16,1000,13703776,13391585,214.121500,209.243516,76132.088889,74397.694444,76.132089,74.397694,25768,68616,0,25115.685850,24502.141995,0.392433,0.382846,336.417726,335.789526,1,
3,2026-04-23T02:10:54Z,20260423T021054Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,16,16,16,1000,33442633,31774252,130.635285,124.118172,185792.405556,176523.622222,185.792406,176.523622,25768,68616,0,61303.086258,58100.278783,0.239465,0.226954,336.425786,335.657866,1,
3,2026-04-23T02:10:54Z,20260423T021054Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,16,16,16,500,56199416,52652481,109.764484,102.836877,312218.977778,292513.783333,624.437956,585.027567,25768,68616,0,99420.324900,95928.633799,0.194180,0.187361,324.737205,334.428182,1,
3,2026-04-23T02:10:54Z,20260423T021054Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,4096,32,16,16,16,200,85644735,79885554,104.546796,97.516545,475804.083333,443808.633333,2379.020417,2219.043167,25768,68616,0,154723.622977,146459.339948,0.188872,0.178783,331.424857,336.373995,1,
3,2026-04-23T02:10:54Z,20260423T021054Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16384,32,16,16,16,100,169197155,157592612,103.269748,96.186897,939984.194444,875514.511111,9399.841944,8755.145111,25768,68616,0,266345.482906,136721.898495,0.162564,0.083448,288.682274,159.158236,1,
4,2026-04-23T02:11:10Z,20260423T021110Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,16,16,16,1000,8737079,8764037,546.067437,547.752313,48539.327778,48689.094444,48.539328,48.689094,25768,68616,0,15962.855457,15898.488281,0.997678,0.993656,335.398145,332.734876,1,
4,2026-04-23T02:11:10Z,20260423T021110Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,64,32,16,16,16,1000,13703776,13391585,214.121500,209.243516,76132.088889,74397.694444,76.132089,74.397694,25768,68616,0,24803.788854,24153.256820,0.387559,0.377395,332.100939,330.866532,1,
4,2026-04-23T02:11:10Z,20260423T021110Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,256,32,16,16,16,1000,33442633,31774252,130.635285,124.118172,185792.405556,176523.622222,185.792406,176.523622,25768,68616,0,61220.597264,57721.663576,0.239143,0.225475,335.915486,333.350160,1,
4,2026-04-23T02:11:10Z,20260423T021110Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,1024,32,16,16,16,500,56199416,52652481,109.764484,102.836877,312218.977778,292513.783333,624.437956,585.027567,25768,68616,0,99318.168619,96068.880350,0.193981,0.187635,324.304224,334.698331,1,
4,2026-04-23T02:11:10Z,20260423T021110Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,4096,32,16,16,16,200,85644735,79885554,104.546796,97.516545,475804.083333,443808.633333,2379.020417,2219.043167,25768,68616,0,154790.927786,145078.391286,0.188954,0.177098,331.613422,333.106732,1,
4,2026-04-23T02:11:10Z,20260423T021110Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16384,32,16,16,16,100,169197155,157592612,103.269748,96.186897,939984.194444,875514.511111,9399.841944,8755.145111,25768,68616,0,265184.431000,136608.060069,0.161856,0.083379,287.521237,159.043074,1,
5,2026-04-23T02:11:27Z,20260423T021127Z_gift_cofb_stm32_armv7e_m,gift_cofb,ref,0.1.0,stm32,armv7e-m,GNU,15.2.1,-O2,180000000,16,32,16,16,16,1000,8737079,8764037,546.067437,547.752313,48539.327778,48689.094444,48.539328,48.689094,25768,68616,0,15829.146514,15941.016365,0.989322,0.996314,332.807285,334.280815,1,
