board,algorithm,operation,msg_len,notes,n_rows,n_runs,runs,iterations_mean,iterations_sd,iterations_ci95,enc_cycles_total_mean,enc_cycles_total_sd,enc_cycles_total_ci95,dec_cycles_total_mean,dec_cycles_total_sd,dec_cycles_total_ci95,enc_cycles_per_byte_mean,enc_cycles_per_byte_sd,enc_cycles_per_byte_ci95,dec_cycles_per_byte_mean,dec_cycles_per_byte_sd,dec_cycles_per_byte_ci95,enc_time_us_total_mean,enc_time_us_total_sd,enc_time_us_total_ci95,dec_time_us_total_mean,dec_time_us_total_sd,dec_time_us_total_ci95,enc_time_us_per_op_mean,enc_time_us_per_op_sd,enc_time_us_per_op_ci95,dec_time_us_per_op_mean,dec_time_us_per_op_sd,dec_time_us_per_op_ci95,flash_bytes_mean,flash_bytes_sd,flash_bytes_ci95,ram_bytes_mean,ram_bytes_sd,ram_bytes_ci95,stack_bytes_peak_mean,stack_bytes_peak_sd,stack_bytes_peak_ci95,energy_uJ_enc_total_mean,energy_uJ_enc_total_sd,energy_uJ_enc_total_ci95,energy_uJ_dec_total_mean,energy_uJ_dec_total_sd,energy_uJ_dec_total_ci95,energy_uJ_per_byte_enc_mean,energy_uJ_per_byte_enc_sd,energy_uJ_per_byte_enc_ci95,energy_uJ_per_byte_dec_mean,energy_uJ_per_byte_dec_sd,energy_uJ_per_byte_dec_ci95,avg_power_mW_enc_mean,avg_power_mW_enc_sd,avg_power_mW_enc_ci95,avg_power_mW_dec_mean,avg_power_mW_dec_sd,avg_power_mW_dec_ci95,energy_uJ_per_op_enc_mean,energy_uJ_per_op_enc_sd,energy_uJ_per_op_enc_ci95,energy_uJ_per_op_dec_mean,energy_uJ_per_op_dec_sd,energy_uJ_per_op_dec_ci95
esp32c61,aes_128_gcm,aead,16,,5,5,1 2 3 4 5,50,0,0,82182575.2,213.087306,264.54042,82177644.8,347.800518,431.782149,102728.219,0.266359133,0.330675525,102722.056,0.434750647,0.539727686,513641.095,1.33179566,1.65337762,513610.28,2.17375323,2.69863843,10272.8219,0.0266359133,0.0330675525,10272.2056,0.0434750647,0.0539727686,194132,0,0,426646,0,0,0,0,0,2138.98528,275.94885,342.580822,2011.1905,299.552428,371.883838,2.6737316,0.344935931,0.428225866,2.513988,0.374440431,0.464854668,4.1647022,0.537374809,0.667131986,3.9160676,0.583317559,0.724168299,42.7797055,5.51897699,6.85161645,40.22381,5.99104856,7.43767675
esp32c61,aes_128_gcm,aead,64,,5,5,1 2 3 4 5,20,0,0,63076457.8,102.638687,127.422331,63064786.6,349.517954,433.914286,49278.4827,0.0801864684,0.0995486892,49269.3645,0.273061039,0.338995707,394227.861,0.641491792,0.796389569,394154.916,2.18448721,2.71196429,19711.3931,0.0320741935,0.0398189868,19707.7458,0.109224739,0.135598684,194132,0,0,426646,0,0,0,0,0,1523.06238,288.209209,357.801629,1673.68532,402.750452,500.000566,1.1898924,0.225163277,0.279532314,1.3075666,0.314648544,0.390625137,3.8638018,0.731147501,0.907693989,4.246585,1.02188492,1.26863431,76.1531191,14.4104604,17.8900814,83.6842661,20.1375226,25.0000283
esp32c61,aes_128_gcm,aead,256,,5,5,1 2 3 4 5,10,0,0,91944041,364.891765,453.000333,91920826.8,542.402249,673.373376,35915.641,0.142535709,0.176953085,35906.573,0.211875936,0.263036547,574650.256,2.28057353,2.83125208,574505.167,3.39001406,4.2085836,57465.0256,0.228057353,0.283125208,57450.5168,0.339001406,0.42085836,194132,0,0,426646,0,0,0,0,0,2497.98529,582.424552,723.059662,2260.24132,334.333891,415.063804,0.9757756,0.227509593,0.282445184,0.882907,0.13059934,0.162134502,4.347232,1.01349196,1.25821474,3.9344896,0.581987926,0.722517607,249.798529,58.2424552,72.3059662,226.024132,33.4333891,41.5063804
esp32c61,aes_128_gcm,aead,1024,,5,5,1 2 3 4 5,5,0,0,166784362,682.598711,847.422368,166737686,754.269382,936.398993,32575.0707,0.133320198,0.165512351,32565.9544,0.147318259,0.182890454,1042402.26,4.26624194,5.2963898,1042110.54,4.71418363,5.85249371,208480.452,0.853248389,1.05927796,208422.108,0.942836727,1.17049874,194132,0,0,426646,0,0,0,0,0,4169.74511,971.751185,1206.39503,4059.7725,1066.90194,1324.52136,0.8144032,0.189795408,0.235624345,0.7929242,0.208379416,0.25869574,4.00026,0.93225179,1.15735791,3.8959328,1.02389162,1.27112555,833.949021,194.350237,241.279006,811.9545,213.380388,264.904271
esp32c61,aes_128_gcm,aead,4096,,5,5,1 2 3 4 5,3,0,0,390019805,2985.75898,3706.7151,389907991,1443.52544,1792.08623,31739.893,0.242981681,0.301653239,31730.7935,0.117474331,0.145840264,2437623.78,18.6609936,23.1669694,2436924.94,9.02203401,11.2005389,812541.261,6.22033123,7.72232314,812308.314,3.00734455,3.73351283,194132,0,0,426646,0,0,0,0,0,7971.73392,2402.54607,2982.67672,7083.46343,1081.12183,1342.17484,0.6487414,0.195519699,0.242730851,0.5764536,0.0879818189,0.109226344,3.270355,0.985599578,1.22358732,2.9067966,0.443652765,0.550779354,2657.24464,800.848691,994.225573,2361.15448,360.373942,447.391615
esp32c61,aes_128_gcm,aead,16384,,5,5,1 2 3 4 5,2,0,0,1.03321572e+09,6363.43689,7899.9838,1.03291347e+09,5207.87677,6465.39643,31531.2415,0.194196728,0.24108843,31522.0175,0.158931859,0.197308331,6457598.25,39.7714805,49.3748987,6455709.17,32.5492298,40.4087277,3228799.12,19.8857403,24.6874494,3227854.59,16.2746149,20.2043639,194132,0,0,426646,0,0,0,0,0,20217.9144,2771.42932,3440.63233,51073.3924,7823.18273,9712.20709,0.6170018,0.0845772878,0.104999738,1.5586364,0.238744796,0.296393294,3.1309276,0.429169599,0.53279901,7.9114992,1.21181926,1.50443113,10108.9572,1385.71466,1720.31617,25536.6962,3911.59137,4856.10354
esp32c61,ascon_aead128,aead,16,,5,5,1 2 3 4 5,1000,0,0,9135539.4,833.737549,1035.05594,9137736,31.3049517,38.864,570.971213,0.0521086602,0.0646910747,571.1085,0.00195653559,0.00242897034,57097.1212,5.21085968,6.4690996,57110.85,0.195655948,0.2429,57.0971216,0.00521082799,0.00646906026,57.1108502,0.000195871642,0.000243167776,218458,0,0,426102,0,0,0,0,0,484.398218,57.9448711,71.9365259,510.322097,99.6884928,123.759769,0.0302748,0.00362160023,0.00449608971,0.031895,0.00623071264,0.0077352113,8.4889062,1.01546334,1.26066214,8.941538,1.74816328,2.17028342,0.484398218,0.0579448711,0.0719365259,0.510322097,0.0996884928,0.123759769
esp32c61,ascon_aead128,aead,64,,5,5,1 2 3 4 5,1000,0,0,13805478.6,386.562155,479.903364,13469466.4,52.9178609,65.695669,215.710603,0.00604019062,0.00749868489,210.460412,0.000826801246,0.00102644476,86284.2413,2.41601347,2.99939602,84184.165,0.33073663,0.410597931,86.2842412,0.00241605675,0.00299944975,84.1841654,0.000330735242,0.000410596207,218458,0,0,426102,0,0,0,0,0,689.030717,206.485224,256.344167,670.409644,106.773834,132.555971,0.010766,0.00322637544,0.004005432,0.0104752,0.00166850133,0.00207138591,7.9887618,2.39403161,2.97210631,7.9662488,1.26875714,1.5751175,0.689030717,0.206485224,0.256344167,0.670409644,0.106773834,0.132555971
esp32c61,ascon_aead128,aead,256,,5,5,1 2 3 4 5,1000,0,0,32505580.6,471.235928,585.022884,30798765.4,180.967677,224.665026,126.974924,0.00184074781,0.00228522387,120.307677,0.000706882098,0.000877569342,203159.879,2.94522455,3.65639302,192492.284,1.13104798,1.40415641,203.159879,0.00294528807,0.00365647188,192.492284,0.0011309683,0.0014040575,218458,0,0,426102,0,0,0,0,0,1359.08036,175.383396,217.732338,1413.74178,197.647026,245.371853,0.005309,0.000685116049,0.000850547555,0.0055224,0.000772002137,0.000958413588,6.6904262,0.863217638,1.07165443,7.3460266,1.02711929,1.27513258,1.35908036,0.175383396,0.217732338,1.41374178,0.197647026,0.245371853
esp32c61,ascon_aead128,aead,1024,,5,5,1 2 3 4 5,500,0,0,53650135.4,474.024577,588.484894,50055608.8,86.762319,107.712377,104.785421,0.00092596015,0.00114954706,97.7648608,0.000169445271,0.000210360364,335313.346,2.96265361,3.67803059,312847.555,0.542264494,0.673202358,670.626692,0.00592555046,0.00735636316,625.69511,0.00108443395,0.00134628673,218458,0,0,426102,0,0,0,0,0,2488.34282,412.817465,512.49841,2645.91898,357.964325,444.400159,0.00486,0.000806090876,0.00100073356,0.005168,0.00069903648,0.000867829282,7.421658,1.2312571,1.52856252,8.4584824,1.14434161,1.42065999,4.97668564,0.82563493,1.02499682,5.29183796,0.715928649,0.888800319
esp32c61,ascon_aead128,aead,4096,,5,5,1 2 3 4 5,200,0,0,81298252.2,1479.06565,1836.20815,75474692.4,609.387233,756.532886,99.2410304,0.00180570784,0.00224172298,92.132193,0.000743853816,0.000923468434,508114.076,9.24416032,11.4763009,471716.828,3.80867021,4.72833053,2540.57038,0.0462208894,0.0573816138,2358.58414,0.0190432523,0.02364153,218458,0,0,426102,0,0,0,0,0,3937.96389,242.183008,300.661714,3464.69865,341.063156,423.417951,0.004807,0.000295742286,0.00036715368,0.0042296,0.000416458641,0.000517018803,7.7506592,0.476697956,0.5918038,7.3455078,0.722916226,0.89747515,19.6898195,1.21091504,1.50330857,17.3234932,1.70531578,2.11708976
esp32c61,ascon_aead128,aead,16384,,5,5,1 2 3 4 5,100,0,0,160327882,12878.7803,15988.5543,148653600,3760.52792,4668.56357,97.8563732,0.00786067358,0.00975875067,90.7309568,0.00229500963,0.00284917399,1002049.26,80.4923772,99.9284643,929084.999,23.5032995,29.1785223,10020.4926,0.804923758,0.999284626,9290.84999,0.235032809,0.291784992,218458,0,0,426102,0,0,0,0,0,7611.86198,1079.83624,1340.57883,17605.5316,10238.9172,12711.2568,0.004646,0.000659252607,0.000818438999,0.0107456,0.00624906727,0.00775799794,7.596652,1.0779089,1.33818611,18.949911,11.0206853,13.6817944,76.1186198,10.7983624,13.4057883,176.055316,102.389172,127.112568
esp32c61,ascon_aead80pq,aead,16,,5,5,1 2 3 4 5,1000,0,0,10271838,3585.69624,4451.51617,10276217.6,90.1986696,111.978486,641.989875,0.224106146,0.278219924,642.2636,0.00563752607,0.00699879097,64198.9875,22.4106015,27.821976,64226.36,0.563741685,0.699865538,64.1989872,0.0224106132,0.0278219906,64.2263602,0.000563837033,0.000699983909,214162,0,0,426094,0,0,0,0,0,496.838304,133.476189,165.706009,542.698301,135.646974,168.400962,0.0310524,0.00834197427,0.0103562686,0.0339186,0.00847786762,0.0105249754,7.7430616,2.08178787,2.58446666,8.4548908,2.11329248,2.62357852,0.496838304,0.133476189,0.165706009,0.542698301,0.135646974,0.168400962
esp32c61,ascon_aead80pq,aead,64,,5,5,1 2 3 4 5,1000,0,0,16465686.4,3131.32357,3887.42843,16093153.6,63.2834892,78.5642331,257.27635,0.0489270016,0.0607411571,251.455525,0.000989013903,0.00122782609,102910.54,19.5707723,24.2964277,100582.21,0.395521807,0.491026457,102.91054,0.01957087,0.024296549,100.58221,0.000395740698,0.000491298202,214162,0,0,426094,0,0,0,0,0,743.708684,140.687238,174.658274,762.48256,147.984802,183.717943,0.0116204,0.00219844406,0.00272929123,0.0119136,0.00231230238,0.00287064234,7.2297942,1.36845413,1.69888783,7.5825644,1.47113139,1.82635804,0.743708684,0.140687238,0.174658274,0.76248256,0.147984802,0.183717943
esp32c61,ascon_aead80pq,aead,256,,5,5,1 2 3 4 5,1000,0,0,41228062,2468.32119,3064.33422,39312747.6,67.4299637,83.7119359,161.047117,0.00964189733,0.0119700775,153.56542,0.000263582435,0.000327228352,257675.388,15.4270074,19.1520889,245704.672,0.421437273,0.523199599,257.675388,0.0154273478,0.0191525114,245.704673,0.000421564111,0.000523357065,214162,0,0,426094,0,0,0,0,0,2278.84221,517.995905,643.073755,1774.53377,535.150572,664.370673,0.0089018,0.00202335086,0.00251191916,0.0069318,0.00209058382,0.00259538652,8.8449282,2.01037704,2.49581262,7.2231956,2.17876522,2.70486063,2.27884221,0.517995905,0.643073755,1.77453377,0.535150572,0.664370673
esp32c61,ascon_aead80pq,aead,1024,,5,5,1 2 3 4 5,500,0,0,70135567,927.682327,1151.68509,66098473,121.681963,151.06389,136.983529,0.0018119519,0.00224947476,129.09858,0.00023749421,0.000294840736,438347.294,5.79801454,7.19803178,413115.456,0.760512266,0.944149315,876.694588,0.0115962269,0.0143963091,826.230912,0.00152108622,0.00188837522,214162,0,0,426094,0,0,0,0,0,3125.025,812.317019,1008.4631,2940.40057,393.658808,488.713609,0.0061036,0.00158661347,0.001969725,0.005743,0.000768703779,0.000954318792,7.1296894,1.85283524,2.30022999,7.1182012,0.95284359,1.18292191,6.25005001,1.62463404,2.0169262,5.88080114,0.787317617,0.977427219
esp32c61,ascon_aead80pq,aead,4096,,5,5,1 2 3 4 5,200,0,0,107289758,453.134969,562.551177,100744701,135.369864,168.05694,130.968942,0.000553100985,0.000686655482,122.979371,0.000165415537,0.00020535759,670560.985,2.83209356,3.51594486,629654.381,0.846061648,1.05035587,3352.80492,0.0141603842,0.0175796205,3148.27191,0.00423040798,0.0052519032,214162,0,0,426094,0,0,0,0,0,4963.47818,999.657596,1241.03986,4845.62286,1478.2799,1835.23266,0.0060588,0.00122027546,0.0015149292,0.0059152,0.00180460874,0.00224035848,7.4023068,1.49084416,1.85083076,7.6962612,2.34790871,2.91484635,24.8173909,4.99828798,6.20519929,24.2281143,7.39139948,9.17616332
esp32c61,ascon_aead80pq,aead,16384,,5,5,1 2 3 4 5,100,0,0,212113719,420.212208,521.678724,198982100,197.990656,245.798459,129.463939,0.000256302165,0.000318190153,121.449036,0.000120813906,0.000149986229,1325710.74,2.6263263,3.26049203,1243638.13,1.2374416,1.53624037,13257.1074,0.026263528,0.0326052492,12436.3813,0.0123741761,0.0153621058,214162,0,0,426094,0,0,0,0,0,9977.77935,2898.23135,3598.05261,30899.9809,6094.11185,7565.6262,0.00609,0.00176880737,0.00219591233,0.0188598,0.00371950994,0.00461764119,7.5265578,2.18619485,2.71408426,24.8473272,4.9004038,6.08367952,99.7777935,28.9823135,35.9805261,308.999809,60.9411185,75.656262
