board,algorithm,operation,msg_len,notes,n_rows,n_runs,runs,iterations_mean,iterations_sd,iterations_ci95,enc_cycles_total_mean,enc_cycles_total_sd,enc_cycles_total_ci95,dec_cycles_total_mean,dec_cycles_total_sd,dec_cycles_total_ci95,enc_cycles_per_byte_mean,enc_cycles_per_byte_sd,enc_cycles_per_byte_ci95,dec_cycles_per_byte_mean,dec_cycles_per_byte_sd,dec_cycles_per_byte_ci95,enc_time_us_total_mean,enc_time_us_total_sd,enc_time_us_total_ci95,dec_time_us_total_mean,dec_time_us_total_sd,dec_time_us_total_ci95,enc_time_us_per_op_mean,enc_time_us_per_op_sd,enc_time_us_per_op_ci95,dec_time_us_per_op_mean,dec_time_us_per_op_sd,dec_time_us_per_op_ci95,flash_bytes_mean,flash_bytes_sd,flash_bytes_ci95,ram_bytes_mean,ram_bytes_sd,ram_bytes_ci95,stack_bytes_peak_mean,stack_bytes_peak_sd,stack_bytes_peak_ci95,energy_uJ_enc_total_mean,energy_uJ_enc_total_sd,energy_uJ_enc_total_ci95,energy_uJ_dec_total_mean,energy_uJ_dec_total_sd,energy_uJ_dec_total_ci95,energy_uJ_per_byte_enc_mean,energy_uJ_per_byte_enc_sd,energy_uJ_per_byte_enc_ci95,energy_uJ_per_byte_dec_mean,energy_uJ_per_byte_dec_sd,energy_uJ_per_byte_dec_ci95,avg_power_mW_enc_mean,avg_power_mW_enc_sd,avg_power_mW_enc_ci95,avg_power_mW_dec_mean,avg_power_mW_dec_sd,avg_power_mW_dec_ci95,energy_uJ_per_op_enc_mean,energy_uJ_per_op_enc_sd,energy_uJ_per_op_enc_ci95,energy_uJ_per_op_dec_mean,energy_uJ_per_op_dec_sd,energy_uJ_per_op_dec_ci95
nrf52,aes_128_gcm,aead,16,,5,5,1 2 3 4 5,50,0,0,96631656,0,0,96633504,0,0,120789.57,0,0,120791.88,0,0,1509869.62,0,0,1509898.5,0,0,30197.3925,0,0,30197.97,0,0,20408,0,0,51648,0,0,0,0,0,26763.818,40.7093072,50.5391776,26738.1343,27.2068843,33.776393,33.4547726,0.0508864943,0.0631737986,33.4226678,0.0340083136,0.0422201291,17.7262902,0.0269821174,0.0334973527,17.7091328,0.0179541817,0.0222894872,535.276359,0.814186144,1.01078355,534.762685,0.544137686,0.67552786
nrf52,aes_128_gcm,aead,64,,5,5,1 2 3 4 5,20,0,0,74126196,0,0,74114452,0,0,57911.0906,0,0,57901.9156,0,0,1158221.81,0,0,1158038.31,0,0,57911.0906,0,0,57901.9156,0,0,20408,0,0,51648,0,0,0,0,0,20525.1677,13.0526745,16.2044378,20518.2944,19.0758558,23.6820062,16.0352872,0.0101969478,0.0126591532,16.0299176,0.0149031341,0.0185017185,17.7218958,0.0113007613,0.014029499,17.7187344,0.0164731092,0.0204507875,1026.25839,0.652633725,0.810221889,1025.91472,0.953792791,1.18410031
nrf52,aes_128_gcm,aead,256,,5,5,1 2 3 4 5,10,0,0,108010128,0,0,107979292,0,0,42191.4563,0,0,42179.4109,0,0,1687658.25,0,0,1687176.44,0,0,168765.825,0,0,168717.644,0,0,20408,0,0,51648,0,0,0,0,0,29163.1728,51.7347888,64.2269266,28929.2931,45.5656937,56.5682112,11.3918644,0.0202089788,0.0250887386,11.3005052,0.0177991396,0.0220970078,17.2806002,0.0306552747,0.0380574488,17.1470954,0.0270079116,0.0335293753,2916.31728,5.17347888,6.42269266,2892.92931,4.55656937,5.65682112
nrf52,aes_128_gcm,aead,1024,,5,5,1 2 3 4 5,5,0,0,195899092,0,0,195833752,0,0,38261.5414,0,0,38248.7797,0,0,3060923.31,0,0,3059902.38,0,0,612184.662,0,0,611980.475,0,0,20408,0,0,51648,0,0,0,0,0,47677.0306,25.1514228,31.2246097,47248.5474,16.7896227,20.8437279,9.3119202,0.0049122408,0.00609837474,9.2282318,0.00327934776,0.00407119527,15.5763388,0.00823000496,0.0102172626,15.4415216,0.00546471946,0.00678425763,9535.40613,5.03028456,6.24492193,9449.70947,3.35792453,4.16874558
nrf52,aes_128_gcm,aead,4096,,5,5,1 2 3 4 5,3,0,0,458085136,0,0,457926120,0,0,37279.0638,0,0,37266.123,0,0,7157580.25,0,0,7155095.62,0,0,2385860.08,0,0,2385031.88,0,0,20408,0,0,51648,0,0,0,0,0,107308.55,37.9247972,47.0823061,106736.177,91.4238013,113.499444,8.732792,0.00308641985,0.00383168204,8.6862122,0.00744019595,0.00923674242,14.9925018,0.00529746564,0.00657661787,14.9177046,0.0127777161,0.0158630865,35769.5168,12.6415991,15.694102,35578.7255,30.4746004,37.833148
nrf52,aes_128_gcm,aead,16384,,5,5,1 2 3 4 5,2,0,0,1.21351182e+09,0,0,1.21308632e+09,0,0,37033.4419,0,0,37020.4567,0,0,18961122.2,0,0,18954473.8,0,0,9480561.12,0,0,9477236.91,0,0,20408,0,0,51648,0,0,0,0,0,277623.8,277.145604,344.066551,274299.72,3482.3542,4323.22065,8.472406,0.00845787071,0.01050015,8.370963,0.10627297,0.131934167,14.6419056,0.0146166109,0.01814601,14.4716738,0.183724174,0.228087121,138811.9,138.572802,172.033275,137149.86,1741.1771,2161.61032
nrf52,ascon_aead128,aead,16,,5,5,1 2 3 4 5,1000,0,0,10403056,0,0,10405056,0,0,650.191,0,0,650.316,0,0,162547.75,0,0,162579,0,0,162.54775,0,0,162.579,0,0,37368,0,0,51648,0,0,0,0,0,3061.83076,4.70366297,5.83943267,3063.55181,4.68598922,5.81749133,0.1913644,0.000294262298,0.000365316326,0.191472,0.000292807958,0.000363510814,18.8398636,0.0304976549,0.0378617694,18.846826,0.0275171194,0.034161539,3.06183076,0.00470366297,0.00583943267,3.06355181,0.00468598922,0.00581749133
nrf52,ascon_aead128,aead,64,,5,5,1 2 3 4 5,1000,0,0,16181056,0,0,15496056,0,0,252.829,0,0,242.125875,0,0,252829,0,0,242125.875,0,0,252.829,0,0,242.125875,0,0,37368,0,0,51648,0,0,0,0,0,4722.3919,5.70775802,7.08598147,4561.19667,6.38658795,7.92872503,0.0737876,8.94108495e-05,0.000111000435,0.0712688,9.98433773e-05,0.000123952053,18.6808102,0.0230095637,0.0285655666,18.8406214,0.0263808148,0.0327508567,4.7223919,0.00570775802,0.00708598147,4.56119667,0.00638658795,0.00792872503
nrf52,ascon_aead128,aead,256,,5,5,1 2 3 4 5,1000,0,0,39293056,0,0,35860056,0,0,153.4885,0,0,140.078344,0,0,613954,0,0,560313.375,0,0,613.954,0,0,560.313375,0,0,37368,0,0,51648,0,0,0,0,0,11569.374,12.0909897,15.0105398,10561.588,9.94862892,12.350874,0.045193,4.69840398e-05,5.83290383e-05,0.0412562,3.88097926e-05,4.81809969e-05,18.8453138,0.0193118033,0.0239749267,18.8507214,0.017787683,0.0220827848,11.569374,0.0120909897,0.0150105398,10.561588,0.00994862892,0.012350874
nrf52,ascon_aead128,aead,1024,,5,5,1 2 3 4 5,500,0,0,65870556,0,0,58658056,0,0,128.65343,0,0,114.566516,0,0,1029227.44,0,0,916532.125,0,0,2058.45487,0,0,1833.06425,0,0,37368,0,0,51648,0,0,0,0,0,14823.6611,6.45314207,8.01134964,14459.9434,15.3058872,19.0017224,0.0289524,1.26214104e-05,1.56690385e-05,0.028242,2.97909382e-05,3.69844054e-05,14.4032658,0.00627008542,0.00778409123,15.7774598,0.0166447639,0.0206638909,29.6473221,0.0129062841,0.0160226993,28.9198868,0.0306117745,0.0380034448
nrf52,ascon_aead128,aead,4096,,5,5,1 2 3 4 5,200,0,0,100306656,0,0,88628056,0,0,122.444648,0,0,108.188545,0,0,1567291.5,0,0,1384813.38,0,0,7836.4575,0,0,6924.06688,0,0,37368,0,0,51648,0,0,0,0,0,15053.3358,23.275306,28.8954764,14764.2732,14.9189566,18.5213615,0.0183756,2.84481985e-05,3.53174411e-05,0.0180226,1.83111988e-05,2.27327113e-05,9.6049744,0.0148754968,0.0184674077,10.661905,0.0106582183,0.0132318043,75.2666788,0.11637653,0.144477382,73.8213659,0.0745947828,0.0926068077
nrf52,ascon_aead128,aead,16384,,5,5,1 2 3 4 5,100,0,0,198070156,0,0,174643656,0,0,120.892429,0,0,106.594028,0,0,3094846.19,0,0,2728807.12,0,0,30948.4619,0,0,27288.0713,0,0,37368,0,0,51648,0,0,0,0,0,30109.2889,23.0750055,28.6468103,24924.0196,2379.95216,2954.62716,0.018377,1.38744369e-05,1.7224627e-05,0.0152126,0.00145258814,0.00180333725,9.7290522,0.00745639874,0.00925685763,9.1338598,0.872176876,1.08277701,301.092889,0.230750055,0.286468103,249.240196,23.7995216,29.5462716
nrf52,ascon_aead80pq,aead,16,,5,5,1 2 3 4 5,1000,0,0,11673056,0,0,11649056,0,0,729.566,0,0,728.066,0,0,182391.5,0,0,182016.5,0,0,182.3915,0,0,182.0165,0,0,34504,0,0,51648,0,0,0,0,0,3160.80657,2.42628871,3.01215237,3431.02536,1.93381549,2.40076413,0.1975504,0.000151643661,0.000188260289,0.2144392,0.000120947096,0.000150151579,17.3331408,0.0131082696,0.0162734571,18.8537304,0.0110609259,0.0137317518,3.16080657,0.00242628871,0.00301215237,3.43102536,0.00193381549,0.00240076413
nrf52,ascon_aead80pq,aead,64,,5,5,1 2 3 4 5,1000,0,0,19083056,0,0,18579056,0,0,298.17275,0,0,290.29775,0,0,298172.75,0,0,290297.75,0,0,298.17275,0,0,290.29775,0,0,34504,0,0,51648,0,0,0,0,0,5600.14784,3.20576662,3.97984687,5488.47421,5.21098992,6.46926129,0.0875026,5.00279922e-05,6.21079983e-05,0.0857574,8.12360757e-05,0.00010085174,18.7833818,0.0109048727,0.0135380171,18.9090646,0.0179982663,0.0223442166,5.60014784,0.00320576662,0.00397984687,5.48847421,0.00521098992,0.00646926129
nrf52,ascon_aead80pq,aead,256,,5,5,1 2 3 4 5,1000,0,0,48723056,0,0,46299056,0,0,190.324437,0,0,180.855687,0,0,761297.75,0,0,723422.75,0,0,761.29775,0,0,723.42275,0,0,34504,0,0,51648,0,0,0,0,0,8568.55461,16.9022557,20.9835579,8325.52754,11.3697838,14.115188,0.0334708,6.59598363e-05,8.18868242e-05,0.0325216,4.46239846e-05,5.53991124e-05,11.2559008,0.0222033301,0.0275646559,11.5091834,0.0156180379,0.0193892465,8.56855461,0.0169022557,0.0209835579,8.32552754,0.0113697838,0.014115188
nrf52,ascon_aead80pq,aead,1024,,5,5,1 2 3 4 5,500,0,0,83641556,0,0,78589556,0,0,163.362414,0,0,153.495227,0,0,1306899.31,0,0,1227961.81,0,0,2613.79862,0,0,2455.92362,0,0,34504,0,0,51648,0,0,0,0,0,8840.60314,23.9024685,29.6740767,8573.63067,13.9387036,17.3044119,0.0172668,4.65048385e-05,5.77341265e-05,0.0167452,2.71974263e-05,3.37646513e-05,6.7647542,0.0183189661,0.0227423541,6.9822458,0.0113177883,0.0140506374,17.6812063,0.047804937,0.0593481533,17.1472613,0.0278774072,0.0346088237
nrf52,ascon_aead80pq,aead,4096,,5,5,1 2 3 4 5,200,0,0,128304656,0,0,120139856,0,0,156.621895,0,0,146.655098,0,0,2004760.25,0,0,1877185.25,0,0,10023.8013,0,0,9385.92625,0,0,34504,0,0,51648,0,0,0,0,0,9125.69777,45.8812744,56.9599936,8873.48997,29.1121844,36.1417563,0.0111398,5.58318905e-05,6.93133347e-05,0.010832,3.54259792e-05,4.39801111e-05,4.5521372,0.0228966671,0.0284254095,4.7271546,0.0155004393,0.019243252,45.6284888,0.229406372,0.284799968,44.3674499,0.145560922,0.180708782
nrf52,ascon_aead80pq,aead,16384,,5,5,1 2 3 4 5,100,0,0,253848356,0,0,237477956,0,0,154.936741,0,0,144.945042,0,0,3966380.56,0,0,3710593.06,0,0,39663.8056,0,0,37105.9306,0,0,34504,0,0,51648,0,0,0,0,0,18408.6855,77.9500764,96.772287,16045.4456,1515.60785,1881.57401,0.0112358,4.75310425e-05,5.90081229e-05,0.0097932,0.000924913618,0.00114824783,4.6412596,0.0196531586,0.0243987074,4.3243058,0.408457249,0.507085355,184.086855,0.779500764,0.96772287,160.454456,15.1560785,18.8157401
nrf52,gift_cofb,aead,16,,5,5,1 2 3 4 5,1000,0,0,9121056,0,0,9112056,0,0,570.066,0,0,569.5035,0,0,142516.5,0,0,142375.875,0,0,142.5165,0,0,142.375875,0,0,22472,0,0,51648,0,0,0,0,0,2817.38392,2.66477966,3.30823052,2802.60528,1.09357385,1.35763359,0.1760864,0.000166897573,0.000207197486,0.1751626,6.86061222e-05,8.51720954e-05,19.7728496,0.0183903593,0.0228309863,19.6889944,0.00768280738,0.00953793602,2.81738392,0.00266477966,0.00330823052,2.80260528,0.00109357385,0.00135763359
nrf52,gift_cofb,aead,64,,5,5,1 2 3 4 5,1000,0,0,14603056,0,0,13967056,0,0,228.17275,0,0,218.23525,0,0,228172.75,0,0,218235.25,0,0,228.17275,0,0,218.23525,0,0,22472,0,0,51648,0,0,0,0,0,4114.43582,103.998705,129.110747,3794.06983,93.5769263,116.172473,0.0642882,0.00162485636,0.00201720221,0.0592822,0.00146225347,0.00181533641,18.0343842,0.455039295,0.564915332,17.3875512,0.429396613,0.533080841,4.11443582,0.103998705,0.129110747,3.79406983,0.0935769263,0.116172473
nrf52,gift_cofb,aead,256,,5,5,1 2 3 4 5,1000,0,0,36383056,0,0,33239056,0,0,142.121312,0,0,129.840062,0,0,568485.25,0,0,519360.25,0,0,568.48525,0,0,519.36025,0,0,22472,0,0,51648,0,0,0,0,0,4534.03832,77.6532871,96.4038336,4217.46652,62.4371606,77.5135459,0.017711,0.00030346499,0.000376741146,0.0164746,0.000243727922,0.00030257967,7.9761414,0.136515975,0.169479797,8.1210532,0.120118262,0.149122611,4.53403832,0.0776532871,0.0964038336,4.21746652,0.0624371606,0.0775135459
nrf52,gift_cofb,aead,1024,,5,5,1 2 3 4 5,500,0,0,61751556,0,0,55163556,0,0,120.608508,0,0,107.74132,0,0,964868.062,0,0,861930.562,0,0,1929.73612,0,0,1723.86112,0,0,22472,0,0,51648,0,0,0,0,0,4789.79612,48.6859633,60.4419165,4488.64253,37.1215203,46.085066,0.0093552,9.49115378e-05,0.000117829347,0.0087672,7.25651431e-05,9.00870812e-05,4.9643872,0.0504735386,0.0626611286,5.2078842,0.0431024699,0.0535102053,9.57959225,0.0973719265,0.120883833,8.97728506,0.0742430405,0.0921701319
nrf52,gift_cofb,aead,4096,,5,5,1 2 3 4 5,200,0,0,94396656,0,0,83735856,0,0,115.230293,0,0,102.216621,0,0,1474947.75,0,0,1308372.75,0,0,7374.73875,0,0,6541.86375,0,0,22472,0,0,51648,0,0,0,0,0,5104.81501,43.3264461,53.7882639,4755.59723,34.8170353,43.2241286,0.0062314,5.26241389e-05,6.53310236e-05,0.0058054,4.25417442e-05,5.2814084e-05,3.4611116,0.0293755943,0.0364687705,3.6348746,0.02658784,0.0330078713,25.524075,0.216632231,0.26894132,23.7779861,0.174085176,0.216120643
nrf52,gift_cofb,aead,16384,,5,5,1 2 3 4 5,100,0,0,186590356,0,0,165208756,0,0,113.885715,0,0,100.835422,0,0,2915474.31,0,0,2581386.81,0,0,29154.7431,0,0,25813.8681,0,0,22472,0,0,51648,0,0,0,0,0,10185.9991,70.3806986,87.3751698,8727.89919,640.974451,795.747309,0.006217,4.30116263e-05,5.33974262e-05,0.0053272,0.000391432242,0.000485949405,3.493845,0.0241379964,0.0299664762,3.3811706,0.248321545,0.308282493,101.859991,0.703806986,0.873751698,87.2789919,6.40974451,7.95747309
nrf52,ml_kem_512,decap,0,decap,5,5,1 2 3 4 5,10,0,0,15476980,0,0,0,0,0,0,0,0,0,0,0,241827.812,0,0,0,0,0,24182.7812,0,0,0,0,0,24732,0,0,5668,0,0,0,0,0,2479.55667,45.8011997,56.8605837,0,0,0,0,0,0,0,0,0,10.2561674,0.189444492,0.235188695,0,0,0,247.955667,4.58011997,5.68605837,0,0,0
nrf52,ml_kem_512,encap,0,encap,5,5,1 2 3 4 5,10,0,0,12699188,0,0,0,0,0,0,0,0,0,0,0,198424.812,0,0,0,0,0,19842.4813,0,0,0,0,0,24732,0,0,5668,0,0,0,0,0,3214.43405,6.00255663,7.45196361,0,0,0,0,0,0,0,0,0,16.2058686,0.0300964783,0.0373637227,0,0,0,321.443405,0.600255663,0.745196361,0,0,0
nrf52,ml_kem_512,keygen,0,keygen,5,5,1 2 3 4 5,10,0,0,11031772,0,0,0,0,0,0,0,0,0,0,0,172371.438,0,0,0,0,0,17237.1437,0,0,0,0,0,24732,0,0,5668,0,0,0,0,0,2983.65679,4.61729076,5.73220461,0,0,0,0,0,0,0,0,0,17.297835,0.0210767798,0.0261660832,0,0,0,298.365679,0.461729076,0.573220461,0,0,0
