board,algorithm,operation,msg_len,notes,n_rows,n_runs,runs,iterations_mean,iterations_sd,iterations_ci95,enc_cycles_total_mean,enc_cycles_total_sd,enc_cycles_total_ci95,dec_cycles_total_mean,dec_cycles_total_sd,dec_cycles_total_ci95,enc_cycles_per_byte_mean,enc_cycles_per_byte_sd,enc_cycles_per_byte_ci95,dec_cycles_per_byte_mean,dec_cycles_per_byte_sd,dec_cycles_per_byte_ci95,enc_time_us_total_mean,enc_time_us_total_sd,enc_time_us_total_ci95,dec_time_us_total_mean,dec_time_us_total_sd,dec_time_us_total_ci95,enc_time_us_per_op_mean,enc_time_us_per_op_sd,enc_time_us_per_op_ci95,dec_time_us_per_op_mean,dec_time_us_per_op_sd,dec_time_us_per_op_ci95,flash_bytes_mean,flash_bytes_sd,flash_bytes_ci95,ram_bytes_mean,ram_bytes_sd,ram_bytes_ci95,stack_bytes_peak_mean,stack_bytes_peak_sd,stack_bytes_peak_ci95,energy_uJ_enc_total_mean,energy_uJ_enc_total_sd,energy_uJ_enc_total_ci95,energy_uJ_dec_total_mean,energy_uJ_dec_total_sd,energy_uJ_dec_total_ci95,energy_uJ_per_byte_enc_mean,energy_uJ_per_byte_enc_sd,energy_uJ_per_byte_enc_ci95,energy_uJ_per_byte_dec_mean,energy_uJ_per_byte_dec_sd,energy_uJ_per_byte_dec_ci95,avg_power_mW_enc_mean,avg_power_mW_enc_sd,avg_power_mW_enc_ci95,avg_power_mW_dec_mean,avg_power_mW_dec_sd,avg_power_mW_dec_ci95,energy_uJ_per_op_enc_mean,energy_uJ_per_op_enc_sd,energy_uJ_per_op_enc_ci95,energy_uJ_per_op_dec_mean,energy_uJ_per_op_dec_sd,energy_uJ_per_op_dec_ci95
pico,aes_128_gcm,aead,16,,5,5,1 2 3 4 5,50,0,0,95466963,68.4653197,84.9972941,95458178.4,89.4891055,111.097587,119333.704,0.0855816496,0.106246618,119322.723,0.111861382,0.138871984,763735.704,0.547722558,0.679978353,763665.427,0.715912844,0.888780697,15274.7141,0.0109544512,0.0135995671,15273.3085,0.0143182569,0.0177756139,43712,0,0,54616,0,0,0,0,0,247889.97,2354.48456,2923.01004,247711.089,3333.21124,4138.0649,309.862462,2.94310545,3.65376224,309.638862,4.16651388,5.17258091,324.593409,3.08095761,3.82490085,324.396263,4.35574049,5.40749911,4957.79939,47.0896913,58.4602008,4954.22178,66.6642249,82.761298
pico,aes_128_gcm,aead,64,,5,5,1 2 3 4 5,20,0,0,73192724.2,221.727761,275.267242,73178782,385.020779,477.989798,57181.8158,0.173224602,0.215052271,57170.9234,0.300797172,0.373429144,585541.794,1.77382209,2.20213793,585430.256,3.08016623,3.82391839,29277.0897,0.0886911044,0.110106897,29271.5128,0.154008311,0.191195919,43712,0,0,54616,0,0,0,0,0,190065.288,2587.98188,3212.88877,190522.057,2581.78101,3205.1906,148.488506,2.02186081,2.51006931,148.845357,2.01701638,2.50405512,324.620475,4.42012266,5.48742732,325.466578,4.40659727,5.47063603,9503.26439,129.399094,160.644439,9526.10283,129.08905,160.25953
pico,aes_128_gcm,aead,256,,5,5,1 2 3 4 5,10,0,0,106608376,121.463163,150.792259,106578543,262.862512,326.334592,41643.8967,0.0474467271,0.0589034482,41632.2434,0.102680665,0.127474446,852867.005,0.971705305,1.20633807,852628.346,2.10290009,2.61067674,85286.7005,0.0971705305,0.120633807,85262.8346,0.210290009,0.261067674,43712,0,0,54616,0,0,0,0,0,277146.697,2835.51502,3520.19249,276698.86,3124.38375,3878.81288,108.260428,1.10762283,1.37507492,108.085492,1.22046224,1.51516109,324.977226,3.32126024,4.12322815,324.540121,3.66337669,4.54795372,27714.6697,283.551502,352.019249,27669.886,312.438375,387.881288
pico,aes_128_gcm,aead,1024,,5,5,1 2 3 4 5,5,0,0,193328120,80.5313604,99.9768605,193267425,346.944808,430.719816,37759.3985,0.0157285881,0.0195264908,37747.544,0.0677629261,0.084125297,1546624.96,0.644250883,0.799814884,1546139.4,2.77555847,3.44575853,309324.993,0.128850177,0.159962977,309227.88,0.555111693,0.689151706,43712,0,0,54616,0,0,0,0,0,407495.097,2449.71691,3041.23767,407569.282,1914.93299,2377.32217,79.588886,0.478460202,0.593991566,79.6033754,0.374010425,0.464320831,263.481217,1.58587304,1.96880578,263.612269,1.23856187,1.53763114,81499.0193,489.943383,608.247533,81513.8564,382.986598,475.464435
pico,aes_128_gcm,aead,4096,,5,5,1 2 3 4 5,3,0,0,452054276,68.4653197,84.9972941,451907871,254.240437,315.63059,36788.2712,0.00557198157,0.00691741978,36776.3567,0.0206898718,0.0256857504,3616434.21,0.547722558,0.679978353,3615262.97,2.0339235,2.52504472,1205478.07,0.182574551,0.226659904,1205087.66,0.67797439,0.841681436,43712,0,0,54616,0,0,0,0,0,832391.568,9362.05596,11622.6643,829947.07,13161.643,16339.7183,67.7401992,0.76188609,0.94585487,67.5412654,1.0710971,1.3297295,230.172913,2.58879579,3.21389922,229.572344,3.64065291,4.51974295,277463.856,3120.68532,3874.22142,276649.023,4387.21432,5446.57277
pico,aes_128_gcm,aead,16384,,5,5,1 2 3 4 5,2,0,0,1.19752278e+09,55.9016994,69.4,1.19713068e+09,138.976617,172.534597,36545.4949,0.00170611987,0.002118088,36533.5292,0.00424112175,0.00526520396,9580182.22,0.447213595,0.5552,9577045.47,1.11181293,1.38027678,4790091.11,0.223606798,0.2776,4788522.74,0.555906467,0.690138389,43712,0,0,54616,0,0,0,0,0,2100663.95,8249.00038,10240.8448,2086004.63,8263.52488,10258.8764,64.1071762,0.251739438,0.312525687,63.6598094,0.252182646,0.313075914,219.274556,0.861059187,1.06897479,217.816127,0.862859781,1.07121017,1050331.97,4124.50019,5120.42238,1043002.31,4131.76244,5129.43822
pico,ascon_aead128,aead,16,,5,5,1 2 3 4 5,1000,0,0,20970842.2,8472.07851,10517.7884,26329036.2,15260.3261,18945.1599,1310.67764,0.529504732,0.657361561,1645.56476,0.953770446,1.18407257,167766.738,67.776628,84.1423075,210632.29,122.082609,151.561279,167.766738,0.067776628,0.0841423075,210.63229,0.122082609,0.151561279,63048,0,0,54300,0,0,0,0,0,60721.9326,549.75031,682.495736,76120.4326,935.658844,1161.58765,3.795121,0.0343594728,0.0426560808,4.757527,0.0584786106,0.0725991449,361.816548,3.21596311,3.99250546,361.220293,4.4204863,5.48787876,60.7219326,0.54975031,0.682495736,76.1204326,0.935658844,1.16158765
pico,ascon_aead128,aead,64,,5,5,1 2 3 4 5,1000,0,0,28712033.2,11421.083,14178.8741,33668588.6,9899.81441,12290.2725,448.625519,0.178454304,0.221544762,526.071697,0.154684679,0.192035606,229696.266,91.3686638,113.430993,269348.709,79.1985153,98.3221801,229.696266,0.0913686638,0.113430993,269.348709,0.0791985153,0.0983221801,63048,0,0,54300,0,0,0,0,0,80103.626,525.844582,652.817613,95729.073,490.851869,609.375386,1.2516192,0.00821622862,0.0102001598,1.4957668,0.00766949032,0.00952140334,348.759871,2.26989084,2.8179899,355.498951,1.92906776,2.39486999,80.1036259,0.525844582,0.652817613,95.729073,0.490851869,0.609375386
pico,ascon_aead128,aead,256,,5,5,1 2 3 4 5,1000,0,0,59633135.2,6110.05971,7585.42492,62981042.6,12737.1315,15812.7022,232.941934,0.0238674224,0.0296305681,246.019698,0.04975431,0.0617682315,477065.082,48.8804777,60.6833994,503848.341,101.897052,126.501617,477.065082,0.0488804777,0.0606833994,503.848341,0.101897052,0.126501617,63048,0,0,54300,0,0,0,0,0,159234.68,581.724151,722.190139,173736.697,703.873808,873.834655,0.6220104,0.00227230429,0.00282098612,0.6786588,0.00274941525,0.00341330264,333.816563,1.21402732,1.50717235,344.869603,1.38516358,1.71963202,159.23468,0.581724151,0.722190139,173.736697,0.703873808,0.873834655
pico,ascon_aead128,aead,1024,,5,5,1 2 3 4 5,500,0,0,91745579.8,5120.60667,6357.05366,90134467.2,5068.2252,6292.0239,179.190586,0.0100013115,0.0124162775,176.043881,0.00989894804,0.0122891969,733964.638,40.9648534,50.8564293,721075.738,40.5458016,50.3361912,1467.92928,0.0819297068,0.101712859,1442.15148,0.0810916032,0.100672382,63048,0,0,54300,0,0,0,0,0,234120.683,1380.29393,1713.58652,234044.921,562.087696,697.812169,0.4572668,0.0026959456,0.00334692195,0.4571188,0.00109806726,0.001363212,318.998146,1.88973877,2.34604442,324.617172,0.780919946,0.969484735,468.241366,2.76058786,3.42717304,468.089843,1.12417539,1.39562434
