board,algorithm,operation,msg_len,notes,n_rows,n_runs,runs,iterations_mean,iterations_sd,iterations_ci95,enc_cycles_total_mean,enc_cycles_total_sd,enc_cycles_total_ci95,dec_cycles_total_mean,dec_cycles_total_sd,dec_cycles_total_ci95,enc_cycles_per_byte_mean,enc_cycles_per_byte_sd,enc_cycles_per_byte_ci95,dec_cycles_per_byte_mean,dec_cycles_per_byte_sd,dec_cycles_per_byte_ci95,enc_time_us_total_mean,enc_time_us_total_sd,enc_time_us_total_ci95,dec_time_us_total_mean,dec_time_us_total_sd,dec_time_us_total_ci95,enc_time_us_per_op_mean,enc_time_us_per_op_sd,enc_time_us_per_op_ci95,dec_time_us_per_op_mean,dec_time_us_per_op_sd,dec_time_us_per_op_ci95,flash_bytes_mean,flash_bytes_sd,flash_bytes_ci95,ram_bytes_mean,ram_bytes_sd,ram_bytes_ci95,stack_bytes_peak_mean,stack_bytes_peak_sd,stack_bytes_peak_ci95,energy_uJ_enc_total_mean,energy_uJ_enc_total_sd,energy_uJ_enc_total_ci95,energy_uJ_dec_total_mean,energy_uJ_dec_total_sd,energy_uJ_dec_total_ci95,energy_uJ_per_byte_enc_mean,energy_uJ_per_byte_enc_sd,energy_uJ_per_byte_enc_ci95,energy_uJ_per_byte_dec_mean,energy_uJ_per_byte_dec_sd,energy_uJ_per_byte_dec_ci95,avg_power_mW_enc_mean,avg_power_mW_enc_sd,avg_power_mW_enc_ci95,avg_power_mW_dec_mean,avg_power_mW_dec_sd,avg_power_mW_dec_ci95,energy_uJ_per_op_enc_mean,energy_uJ_per_op_enc_sd,energy_uJ_per_op_enc_ci95,energy_uJ_per_op_dec_mean,energy_uJ_per_op_dec_sd,energy_uJ_per_op_dec_ci95
rpi5,aes_128_gcm,aead,16,,5,5,1 2 3 4 5,50,0,0,452499.4,313.168964,388.788289,452514.8,380.099592,471.880318,565.62425,0.391461205,0.485985362,565.6435,0.47512449,0.589850397,8379.61852,5.79942526,7.19978314,8379.9037,7.03888123,8.73852427,167.59237,0.115988492,0.143995646,167.598074,0.140777416,0.174770227,18917,0,0,51032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpi5,aes_128_gcm,aead,64,,5,5,1 2 3 4 5,20,0,0,347108.8,122.348682,151.891599,347146,62.2776043,77.3154624,271.17875,0.0955847771,0.11866515,271.207812,0.0486543884,0.0604027174,6427.94074,2.26571617,2.8128072,6428.62963,1.15328883,1.43176765,321.397037,0.113285736,0.14064027,321.431482,0.0576645014,0.0715884568,18917,0,0,51032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpi5,aes_128_gcm,aead,256,,5,5,1 2 3 4 5,10,0,0,505991,81.4340224,101.097484,505757.2,77.3996124,96.0889053,197.652734,0.0318102026,0.0394912513,197.561406,0.0302343271,0.0375348571,9370.2037,1.50803724,1.87217536,9365.87407,1.43332613,1.77942414,937.02037,0.150803883,0.187217733,936.587407,0.143332542,0.177942326,18917,0,0,51032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpi5,aes_128_gcm,aead,1024,,5,5,1 2 3 4 5,5,0,0,918494.8,1166.42818,1448.07969,917383.4,131.764183,163.580614,179.393516,0.227818071,0.282828149,179.176445,0.0257349745,0.0319490686,17009.163,21.600522,26.8162908,16988.5815,2.44007752,3.02927069,3401.83259,4.32010427,5.36325799,3397.7163,0.488015711,0.605854396,18917,0,0,51032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpi5,aes_128_gcm,aead,4096,,5,5,1 2 3 4 5,3,0,0,2146842.4,1583.98052,1966.45629,2145745,1556.59275,1932.45533,174.710482,0.128904703,0.16003067,174.621175,0.126675774,0.157263532,39756.3407,29.3329728,36.4158573,39736.0185,28.8257917,35.7862098,13252.1136,9.7776575,12.138619,13245.3395,9.60859744,11.9287369,18917,0,0,51032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpi5,aes_128_gcm,aead,16384,,5,5,1 2 3 4 5,2,0,0,5687015.6,1652.42134,2051.42317,5685048.2,5743.21514,7130.00025,173.553943,0.0504278696,0.0626044322,173.493903,0.175269151,0.217590506,105315.104,30.6003952,37.9893178,105278.67,106.355836,132.037041,52657.5519,15.3001978,18.9946592,52639.3352,53.1779181,66.0185209,18917,0,0,51032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpi5,ascon_aead128,aead,16,,5,5,1 2 3 4 5,1000,0,0,21362.6,46.9872323,58.3330016,21019.6,190.80173,236.873658,1.3351626,0.00293681482,0.00364595264,1.313725,0.0119253164,0.0148048623,395.603704,0.870134056,1.08024093,389.251852,3.53336538,4.38654925,0.3956036,0.000870258755,0.00108039573,0.389252,0.00353338648,0.00438657544,18976,0,0,50992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpi5,ascon_aead128,aead,64,,5,5,1 2 3 4 5,1000,0,0,35322.2,204.072781,253.349203,31134.6,28.2365012,35.0546263,0.5519092,0.00318875794,0.00395873119,0.486478,0.000441334907,0.000547901814,654.114815,3.77912581,4.6916522,576.566667,0.5228984,0.649160031,0.6541148,0.00377935533,0.00469193714,0.5765666,0.0005231279,0.000649444948,18976,0,0,50992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpi5,ascon_aead128,aead,256,,5,5,1 2 3 4 5,1000,0,0,91028.6,186.245268,231.216971,72769.4,306.659909,380.707526,0.3555806,0.00072748457,0.000903146589,0.2842552,0.00119787716,0.0014871225,1685.71481,3.4489865,4.28179583,1347.58148,5.67888736,7.05013956,1.6857148,0.00344903743,0.00428185905,1.3475816,0.00567903775,0.00705032627,18976,0,0,50992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rpi5,ascon_aead128,aead,1024,,5,5,1 2 3 4 5,500,0,0,156386.8,748.749758,929.546574,118452,241.358654,299.638308,0.305443,0.00146259649,0.00181576227,0.2313516,0.000471661213,0.00058555086,2896.05185,13.8657362,17.2138254,2193.55556,4.46960463,5.54885744,5.792104,0.0277314951,0.0344276789,4.3871112,0.00893930449,0.0110978331,18976,0,0,50992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
