board,board_label,algorithm,algorithm_label,operation,msg_len,security_family,security_basis,security_bits,latency_us_per_op_mean,cycles_total_mean,energy_uJ_per_op_mean,security_bits_per_cycle,security_bits_per_uJ,assumption_note,source_file
esp32c61,ESP32-C61,aes_128_gcm,AES-128-GCM,aead,1024,classical,classical_128,128,208480.452,166784362.0,833.949021,7.674580426191275e-07,0.15348660023188634,AES-128 security strength normalization.,results/summary/esp32c61_summary.csv
esp32c61,ESP32-C61,ascon_aead128,Ascon-AEAD128,aead,1024,classical,classical_128,128,670.626692,53650135.4,4.97668564,2.3858280887022703e-06,25.719928735542958,Ascon-AEAD128 normalized to 128-bit security strength.,results/summary/esp32c61_summary.csv
esp32c61,ESP32-C61,ascon_aead80pq,Ascon-80pq,aead,1024,classical,classical_128,128,876.694588,70135567.0,6.25005001,1.8250369316897374e-06,20.479836128543234,Classical-security normalization for Ascon-80pq. The 160-bit key does not imply a 160-bit classical claim; the original Ascon security claim remains 128-bit against classical attacks.,results/summary/esp32c61_summary.csv
esp32c61,ESP32-C61,gift_cofb,GIFT-COFB,aead,1024,classical,classical_128,128,740.50326,59240260.8,5.74909905,2.1606927159240328e-06,22.264358099726948,GIFT-COFB normalized to a 128-bit AEAD security target.,results/summary/esp32c61_summary.csv
esp32c61,ESP32-C61,ml_kem_512,ML-KEM-512,decap,0,classical,nist_cat1_aes128eq,128,7760.85063,12417361.0,153.60144,1.0308148406090473e-05,0.8333255209065749,"ML-KEM-512 normalized to NIST Category 1, treated as an AES-128-equivalent security target for comparison.",results/summary/esp32c61_summary.csv
esp32c61,ESP32-C61,ml_kem_512,ML-KEM-512,encap,0,classical,nist_cat1_aes128eq,128,6570.85887,10513374.2,259.855427,1.2174968527230773e-05,0.49258159230209186,"ML-KEM-512 normalized to NIST Category 1, treated as an AES-128-equivalent security target for comparison.",results/summary/esp32c61_summary.csv
esp32c61,ESP32-C61,ml_kem_512,ML-KEM-512,keygen,0,classical,nist_cat1_aes128eq,128,5887.03963,9419263.4,234.276608,1.358917301325282e-05,0.5463626995999532,"ML-KEM-512 normalized to NIST Category 1, treated as an AES-128-equivalent security target for comparison.",results/summary/esp32c61_summary.csv
nrf52,nRF52840 DK,aes_128_gcm,AES-128-GCM,aead,1024,classical,classical_128,128,612184.662,195899092.0,9535.40613,6.533976175856905e-07,0.013423654772007075,AES-128 security strength normalization.,results/summary/nrf52_summary.csv
nrf52,nRF52840 DK,ascon_aead128,Ascon-AEAD128,aead,1024,classical,classical_128,128,2058.45487,65870556.0,29.6473221,1.9432050945493766e-06,4.3174219772112234,Ascon-AEAD128 normalized to 128-bit security strength.,results/summary/nrf52_summary.csv
nrf52,nRF52840 DK,ascon_aead80pq,Ascon-80pq,aead,1024,classical,classical_128,128,2613.79862,83641556.0,17.6812063,1.5303397751232653e-06,7.2393250679960675,Classical-security normalization for Ascon-80pq. The 160-bit key does not imply a 160-bit classical claim; the original Ascon security claim remains 128-bit against classical attacks.,results/summary/nrf52_summary.csv
nrf52,nRF52840 DK,gift_cofb,GIFT-COFB,aead,1024,classical,classical_128,128,1929.73612,61751556.0,9.57959225,2.072822262162916e-06,13.36173781300556,GIFT-COFB normalized to a 128-bit AEAD security target.,results/summary/nrf52_summary.csv
