board,board_label,algorithm,algorithm_label,operation,msg_len,security_family,security_basis,security_bits,latency_us_per_op_mean,cycles_total_mean,energy_uJ_per_op_mean,security_bits_per_cycle,security_bits_per_uJ,assumption_note,source_file
esp32c61,ESP32-C61,aes_128_gcm,AES-128-GCM,aead,1024,quantum,grover_64,64,208480.452,166784362.0,833.949021,3.8372902130956376e-07,0.07674330011594317,Grover-style exhaustive-key-search normalization for a 128-bit symmetric key.,results/summary/esp32c61_summary.csv
esp32c61,ESP32-C61,ascon_aead128,Ascon-AEAD128,aead,1024,quantum,grover_64,64,670.626692,53650135.4,4.97668564,1.1929140443511351e-06,12.859964367771479,Grover-style exhaustive-key-search normalization for Ascon-AEAD128.,results/summary/esp32c61_summary.csv
esp32c61,ESP32-C61,ascon_aead80pq,Ascon-80pq,aead,1024,quantum,grover_80,80,876.694588,70135567.0,6.25005001,1.1406480823060858e-06,12.799897580339522,Grover-style exhaustive-key-search normalization for Ascon-80pq (160-bit key interpreted as roughly 80-bit exhaustive-search resistance under Grover's algorithm).,results/summary/esp32c61_summary.csv
esp32c61,ESP32-C61,gift_cofb,GIFT-COFB,aead,1024,quantum,grover_64,64,740.50326,59240260.8,5.74909905,1.0803463579620164e-06,11.132179049863474,Grover-style exhaustive-key-search normalization for GIFT-COFB under a 128-bit symmetric-key assumption.,results/summary/esp32c61_summary.csv
nrf52,nRF52840 DK,aes_128_gcm,AES-128-GCM,aead,1024,quantum,grover_64,64,612184.662,195899092.0,9535.40613,3.2669880879284523e-07,0.006711827386003537,Grover-style exhaustive-key-search normalization for a 128-bit symmetric key.,results/summary/nrf52_summary.csv
nrf52,nRF52840 DK,ascon_aead128,Ascon-AEAD128,aead,1024,quantum,grover_64,64,2058.45487,65870556.0,29.6473221,9.716025472746883e-07,2.1587109886056117,Grover-style exhaustive-key-search normalization for Ascon-AEAD128.,results/summary/nrf52_summary.csv
nrf52,nRF52840 DK,ascon_aead80pq,Ascon-80pq,aead,1024,quantum,grover_80,80,2613.79862,83641556.0,17.6812063,9.564623594520407e-07,4.524578167497542,Grover-style exhaustive-key-search normalization for Ascon-80pq (160-bit key interpreted as roughly 80-bit exhaustive-search resistance under Grover's algorithm).,results/summary/nrf52_summary.csv
nrf52,nRF52840 DK,gift_cofb,GIFT-COFB,aead,1024,quantum,grover_64,64,1929.73612,61751556.0,9.57959225,1.036411131081458e-06,6.68086890650278,Grover-style exhaustive-key-search normalization for GIFT-COFB under a 128-bit symmetric-key assumption.,results/summary/nrf52_summary.csv
pico,RP2040 Pico,aes_128_gcm,AES-128-GCM,aead,1024,quantum,grover_64,64,309324.993,193328120.0,81499.0193,3.3104340951538764e-07,0.0007852855230615027,Grover-style exhaustive-key-search normalization for a 128-bit symmetric key.,results/summary/pico_summary.csv
pico,RP2040 Pico,ascon_aead128,Ascon-AEAD128,aead,1024,quantum,grover_64,64,1467.92928,91745579.8,468.241366,6.975812909953402e-07,0.13668164465418034,Grover-style exhaustive-key-search normalization for Ascon-AEAD128.,results/summary/pico_summary.csv
pico,RP2040 Pico,ascon_aead80pq,Ascon-80pq,aead,1024,quantum,grover_80,80,1928.46438,120529024.0,620.570864,6.637405443522052e-07,0.12891356111104824,Grover-style exhaustive-key-search normalization for Ascon-80pq (160-bit key interpreted as roughly 80-bit exhaustive-search resistance under Grover's algorithm).,results/summary/pico_summary.csv
pico,RP2040 Pico,gift_cofb,GIFT-COFB,aead,1024,quantum,grover_64,64,1487.55718,92972323.6,414.545303,6.883769010157342e-07,0.1543860213512056,Grover-style exhaustive-key-search normalization for GIFT-COFB under a 128-bit symmetric-key assumption.,results/summary/pico_summary.csv
rpi5,Raspberry Pi 5,aes_128_gcm,AES-128-GCM,aead,1024,quantum,grover_64,64,3401.83259,918494.8,0.0,6.967921865208164e-05,,Grover-style exhaustive-key-search normalization for a 128-bit symmetric key.,results/summary/rpi5_summary.csv
rpi5,Raspberry Pi 5,ascon_aead128,Ascon-AEAD128,aead,1024,quantum,grover_64,64,5.792104,156386.8,0.0,0.00040924170070619773,,Grover-style exhaustive-key-search normalization for Ascon-AEAD128.,results/summary/rpi5_summary.csv
rpi5,Raspberry Pi 5,ascon_aead80pq,Ascon-80pq,aead,1024,quantum,grover_80,80,7.0526518,190421.6,0.0,0.0004201204065085053,,Grover-style exhaustive-key-search normalization for Ascon-80pq (160-bit key interpreted as roughly 80-bit exhaustive-search resistance under Grover's algorithm).,results/summary/rpi5_summary.csv
rpi5,Raspberry Pi 5,gift_cofb,GIFT-COFB,aead,1024,quantum,grover_64,64,19.1403478,516789.4,0.0,0.0001238415493816243,,Grover-style exhaustive-key-search normalization for GIFT-COFB under a 128-bit symmetric-key assumption.,results/summary/rpi5_summary.csv
stm32,STM32 F446RE,aes_128_gcm,AES-128-GCM,aead,1024,quantum,grover_64,64,150101.456,135091310.0,38245.1476,4.7375364114834627e-07,0.0016734149040125552,Grover-style exhaustive-key-search normalization for a 128-bit symmetric key.,results/summary/stm32_summary.csv
stm32,STM32 F446RE,ascon_aead128,Ascon-AEAD128,aead,1024,quantum,grover_64,64,639.255267,57532974.0,196.907788,1.1124055572027268e-06,0.3250252346545074,Grover-style exhaustive-key-search normalization for Ascon-AEAD128.,results/summary/stm32_summary.csv
stm32,STM32 F446RE,ascon_aead80pq,Ascon-80pq,aead,1024,quantum,grover_80,80,833.915067,75052356.0,216.155643,1.0659225674407875e-06,0.3701036849637092,Grover-style exhaustive-key-search normalization for Ascon-80pq (160-bit key interpreted as roughly 80-bit exhaustive-search resistance under Grover's algorithm).,results/summary/stm32_summary.csv
stm32,STM32 F446RE,gift_cofb,GIFT-COFB,aead,1024,quantum,grover_64,64,624.437956,56199416.0,198.671196,1.1388018694002088e-06,0.3221403066401231,Grover-style exhaustive-key-search normalization for GIFT-COFB under a 128-bit symmetric-key assumption.,results/summary/stm32_summary.csv
