board,algorithm,operation,msg_len,notes,n_rows,n_runs,runs,iterations_mean,iterations_sd,iterations_ci95,enc_cycles_total_mean,enc_cycles_total_sd,enc_cycles_total_ci95,dec_cycles_total_mean,dec_cycles_total_sd,dec_cycles_total_ci95,enc_cycles_per_byte_mean,enc_cycles_per_byte_sd,enc_cycles_per_byte_ci95,dec_cycles_per_byte_mean,dec_cycles_per_byte_sd,dec_cycles_per_byte_ci95,enc_time_us_total_mean,enc_time_us_total_sd,enc_time_us_total_ci95,dec_time_us_total_mean,dec_time_us_total_sd,dec_time_us_total_ci95,enc_time_us_per_op_mean,enc_time_us_per_op_sd,enc_time_us_per_op_ci95,dec_time_us_per_op_mean,dec_time_us_per_op_sd,dec_time_us_per_op_ci95,flash_bytes_mean,flash_bytes_sd,flash_bytes_ci95,ram_bytes_mean,ram_bytes_sd,ram_bytes_ci95,stack_bytes_peak_mean,stack_bytes_peak_sd,stack_bytes_peak_ci95,energy_uJ_enc_total_mean,energy_uJ_enc_total_sd,energy_uJ_enc_total_ci95,energy_uJ_dec_total_mean,energy_uJ_dec_total_sd,energy_uJ_dec_total_ci95,energy_uJ_per_byte_enc_mean,energy_uJ_per_byte_enc_sd,energy_uJ_per_byte_enc_ci95,energy_uJ_per_byte_dec_mean,energy_uJ_per_byte_dec_sd,energy_uJ_per_byte_dec_ci95,avg_power_mW_enc_mean,avg_power_mW_enc_sd,avg_power_mW_enc_ci95,avg_power_mW_dec_mean,avg_power_mW_dec_sd,avg_power_mW_dec_ci95,energy_uJ_per_op_enc_mean,energy_uJ_per_op_enc_sd,energy_uJ_per_op_enc_ci95,energy_uJ_per_op_dec_mean,energy_uJ_per_op_dec_sd,energy_uJ_per_op_dec_ci95
stm32,aes_128_gcm,aead,16,,5,5,1 2 3 4 5,50,0,0,66829099,0,0,66836578,0,0,83536.3737,0,0,83545.7225,0,0,371272.772,0,0,371314.322,0,0,7425.45544,0,0,7426.28644,0,0,23756,0,0,68616,0,0,0,0,0,94115.4287,610.589498,758.025456,94694.616,501.212573,622.237838,117.644286,0.763237162,0.947532178,118.36827,0.626515768,0.777797362,258.195423,1.68732867,2.09475938,259.775227,1.33814427,1.66125919,1882.30857,12.21179,15.1605091,1893.89232,10.0242515,12.4447568
stm32,aes_128_gcm,aead,64,,5,5,1 2 3 4 5,20,0,0,51190502,0,0,51186751,0,0,39992.5797,0,0,39989.6492,0,0,284391.678,0,0,284370.839,0,0,14219.5839,0,0,14218.5419,0,0,23756,0,0,68616,0,0,0,0,0,72514.9938,475.243778,589.998489,72819.0601,356.460893,442.533701,56.652339,0.371284217,0.460936339,56.8898908,0.278485026,0.345729396,259.736171,1.76644567,2.19298037,260.877443,1.26326298,1.5682967,3625.74969,23.7621889,29.4999244,3640.95301,17.8230446,22.1266851
stm32,aes_128_gcm,aead,256,,5,5,1 2 3 4 5,10,0,0,74512811,0,0,74497491,0,0,29106.5668,0,0,29100.5824,0,0,413960.061,0,0,413874.95,0,0,41396.0061,0,0,41387.495,0,0,23756,0,0,68616,0,0,0,0,0,105010.882,845.446409,1049.59208,105921.192,686.644521,852.4451,41.0198758,0.330252531,0.409996938,41.3754658,0.268220412,0.332986238,258.412839,2.08531809,2.5888493,260.665038,1.70500215,2.11670039,10501.0882,84.5446409,104.959208,10592.1192,68.6644521,85.24451
stm32,aes_128_gcm,aead,1024,,5,5,1 2 3 4 5,5,0,0,135091310,0,0,135056769,0,0,26385.0215,0,0,26378.2752,0,0,750507.278,0,0,750315.383,0,0,150101.456,0,0,150063.077,0,0,23756,0,0,68616,0,0,0,0,0,191225.738,1593.83946,1978.69581,191385.254,1562.64215,1939.96545,37.3487768,0.311296721,0.386463965,37.3799322,0.305203658,0.378899641,259.562061,2.18207475,2.7089693,259.877269,2.06034681,2.55784833,38245.1476,318.767892,395.739162,38277.0508,312.528431,387.99309
stm32,aes_128_gcm,aead,4096,,5,5,1 2 3 4 5,3,0,0,315858506,0,0,315773296,0,0,25704.631,0,0,25697.6966,0,0,1754769.48,0,0,1754296.09,0,0,584923.159,0,0,584765.363,0,0,23756,0,0,68616,0,0,0,0,0,309267.015,1880.84775,2335.00654,306878.552,1737.61024,2157.18219,25.168214,0.153063733,0.190023259,24.9738406,0.141407306,0.175552213,179.540253,1.09733014,1.3622969,178.222183,1.00815597,1.25159029,103089.005,626.94925,778.335514,102292.851,579.203413,719.060732
stm32,aes_128_gcm,aead,16384,,5,5,1 2 3 4 5,2,0,0,836715635,0,0,836486635,0,0,25534.5348,0,0,25527.5462,0,0,4648420.19,0,0,4647147.97,0,0,2324210.1,0,0,2323573.99,0,0,23756,0,0,68616,0,0,0,0,0,751194.832,2526.30668,3136.32117,657368.12,35024.5831,43481.792,22.9246468,0.0770969435,0.0957131524,20.061283,1.0688654,1.32695892,164.643763,0.511130317,0.634550369,144.11927,7.73046777,9.59710471,375597.416,1263.15334,1568.16059,328684.06,17512.2915,21740.896
stm32,ascon_aead128,aead,16,,5,5,1 2 3 4 5,1000,0,0,9958290,0,0,9926274,0,0,622.393125,0,0,620.392125,0,0,55323.8333,0,0,55145.9667,0,0,55.323833,0,0,55.145967,0,0,40628,0,0,68616,0,0,0,0,0,17460.6121,127.793332,158.650941,17418.2918,95.5162919,118.580128,1.0912884,0.00798715502,0.00991577294,1.088643,0.00596966988,0.00741113587,321.706527,2.38319542,2.95865356,321.964468,1.69849796,2.10862567,17.4606121,0.127793332,0.158650941,17.4182918,0.0955162919,0.118580128
stm32,ascon_aead128,aead,64,,5,5,1 2 3 4 5,1000,0,0,14963393,0,0,14631314,0,0,233.803016,0,0,228.614281,0,0,83129.9611,0,0,81285.0778,0,0,83.129961,0,0,81.285078,0,0,40628,0,0,68616,0,0,0,0,0,26205.617,123.582464,153.423297,25628.1432,116.685662,144.861158,0.4094628,0.00193096186,0.00239722145,0.40044,0.00182318965,0.00226342603,321.294678,1.43906135,1.78654421,321.381245,1.46249133,1.81563172,26.205617,0.123582464,0.153423297,25.6281432,0.116685662,0.144861158
stm32,ascon_aead128,aead,256,,5,5,1 2 3 4 5,1000,0,0,34983905,0,0,33451321,0,0,136.655879,0,0,130.669223,0,0,194355.028,0,0,185840.672,0,0,194.355028,0,0,185.840672,0,0,40628,0,0,68616,0,0,0,0,0,61517.3327,312.924175,388.484393,58469.5496,229.443226,284.845721,0.240302,0.0012223279,0.00151747724,0.2283966,0.000896145803,0.0011125336,322.533714,1.53597274,1.90685631,320.600443,1.16924232,1.45157335,61.5173327,0.312924175,0.388484393,58.4695496,0.229443226,0.284845721
stm32,ascon_aead128,aead,1024,,5,5,1 2 3 4 5,500,0,0,57532974,0,0,54366195,0,0,112.36909,0,0,106.183975,0,0,319627.633,0,0,302034.417,0,0,639.255267,0,0,604.068833,0,0,40628,0,0,68616,0,0,0,0,0,98453.894,607.781069,754.538889,95425.6455,275.912534,342.535737,0.1922928,0.00118684001,0.00147342026,0.1863784,0.000538877352,0.000668997339,313.822111,1.90213051,2.36142834,321.955521,0.864772928,1.07358527,196.907788,1.21556214,1.50907778,190.851291,0.551825068,0.685071475
stm32,ascon_aead128,aead,4096,,5,5,1 2 3 4 5,200,0,0,87078786,0,0,81971272,0,0,106.297346,0,0,100.062588,0,0,483771.033,0,0,455395.956,0,0,2418.85517,0,0,2276.97978,0,0,40628,0,0,68616,0,0,0,0,0,152701.971,344.34847,427.496553,143678.602,614.675949,763.098641,0.1864036,0.00042026337,0.00052174224,0.175389,0.000750334925,0.000931514504,321.571005,0.764915763,0.949616103,321.46038,1.45084539,1.80117368,763.509857,1.72174235,2.13748277,718.39301,3.07337975,3.81549321
stm32,ascon_aead128,aead,16384,,5,5,1 2 3 4 5,100,0,0,171670846,0,0,161435282,0,0,104.779569,0,0,98.532277,0,0,953726.922,0,0,896862.678,0,0,9537.26922,0,0,8968.62678,0,0,40628,0,0,68616,0,0,0,0,0,287102.87,1688.74887,2096.52251,156929.901,26377.0537,32746.1874,0.1752338,0.0010306887,0.00127956389,0.0957822,0.0160992908,0.0199867051,306.750388,1.83587693,2.27917685,178.323824,29.9560206,37.1893494,2871.0287,16.8874887,20.9652251,1569.29901,263.770537,327.461874
stm32,ascon_aead80pq,aead,16,,5,5,1 2 3 4 5,1000,0,0,11095496,0,0,11118514,0,0,693.4685,0,0,694.907125,0,0,61641.6444,0,0,61769.5222,0,0,61.641644,0,0,61.769522,0,0,37812,0,0,68616,0,0,0,0,0,19605.4676,59.4807651,73.8432845,19597.8383,57.4762989,71.35481,1.2253416,0.00371776126,0.00461547027,1.2248648,0.00359221988,0.00445961505,324.258201,0.93061449,1.15532526,323.396931,1.04361161,1.29560722,19.6054676,0.0594807651,0.0738432845,19.5978383,0.0574762989,0.07135481
stm32,ascon_aead80pq,aead,64,,5,5,1 2 3 4 5,1000,0,0,17714970,0,0,17515962,0,0,276.796406,0,0,273.686906,0,0,98416.5,0,0,97310.9,0,0,98.4165,0,0,97.3109,0,0,37812,0,0,68616,0,0,0,0,0,30491.162,107.824457,133.860283,30837.4583,121.603636,150.966651,0.4764242,0.0016847079,0.00209150579,0.4818352,0.00190009834,0.00235890547,315.806995,1.11590431,1.38535607,323.01063,1.13138764,1.40457808,30.491162,0.107824457,0.133860283,30.8374583,0.121603636,0.150966651
stm32,ascon_aead80pq,aead,256,,5,5,1 2 3 4 5,1000,0,0,44192954,0,0,43105762,0,0,172.628727,0,0,168.381883,0,0,245516.411,0,0,239476.456,0,0,245.516411,0,0,239.476456,0,0,37812,0,0,68616,0,0,0,0,0,77393.3232,393.175687,488.113831,75812.6136,775.638548,962.928065,0.3023176,0.00153590618,0.00190677368,0.296143,0.00303002318,0.00376166755,321.275685,1.60932185,1.99791665,322.649453,3.26027187,4.04751323,77.3933232,0.393175687,0.488113831,75.8126136,0.775638548,0.962928065
stm32,ascon_aead80pq,aead,1024,,5,5,1 2 3 4 5,500,0,0,75052356,0,0,72732434,0,0,146.586633,0,0,142.055535,0,0,416957.533,0,0,404069.078,0,0,833.915067,0,0,808.138156,0,0,37812,0,0,68616,0,0,0,0,0,108077.822,843.448969,1047.11232,104954.005,494.702196,614.155433,0.2110896,0.00164736981,0.00204515187,0.2049882,0.000966459363,0.00119982542,264.180557,2.096734,2.60302175,264.634353,1.2315706,1.52895172,216.155643,1.68689794,2.09422465,209.90801,0.989404393,1.22831087
